pool_index,position,condition,baseline_mse,intervention_mse,delta_mse,num_prompts
0,10,same,0.17304691672325134,0.27961501479148865,0.1065680980682373,64
0,10,different,0.17304691672325134,0.051096152514219284,-0.12195076420903206,64
0,10,random_count,0.17304691672325134,0.2280234694480896,0.05497655272483826,64
0,10,all,0.17304691672325134,0.13640500605106354,-0.036641910672187805,64
0,20,same,0.05340895801782608,0.07893476635217667,0.025525808334350586,64
0,20,different,0.05340895801782608,0.05183463171124458,-0.0015743263065814972,64
0,20,random_count,0.05340895801782608,0.05491248518228531,0.0015035271644592285,64
0,20,all,0.05340895801782608,0.055014267563819885,0.001605309545993805,64
0,30,same,0.059278618544340134,0.11984014511108398,0.06056152656674385,64
0,30,different,0.059278618544340134,0.05614582076668739,-0.0031327977776527405,64
0,30,random_count,0.059278618544340134,0.06318742781877518,0.003908809274435043,64
0,30,all,0.059278618544340134,0.05743551254272461,-0.0018431060016155243,64
0,40,same,0.057699672877788544,0.06899333000183105,0.011293657124042511,64
0,40,different,0.057699672877788544,0.0505322590470314,-0.007167413830757141,64
0,40,random_count,0.057699672877788544,0.05658729746937752,-0.001112375408411026,64
0,40,all,0.057699672877788544,0.05286988243460655,-0.004829790443181992,64
0,49,same,0.058979231864213943,0.05155617743730545,-0.007423054426908493,64
0,49,different,0.058979231864213943,0.05973919481039047,0.0007599629461765289,64
0,49,random_count,0.058979231864213943,0.04941302165389061,-0.009566210210323334,64
0,49,all,0.058979231864213943,0.050269462168216705,-0.008709769695997238,64
1,10,same,0.07170046120882034,0.20798350870609283,0.1362830474972725,64
1,10,different,0.07170046120882034,0.05926899611949921,-0.012431465089321136,64
1,10,random_count,0.07170046120882034,0.07765914499759674,0.005958683788776398,64
1,10,all,0.07170046120882034,0.08755815029144287,0.015857689082622528,64
1,20,same,0.06532614678144455,0.10538171231746674,0.040055565536022186,64
1,20,different,0.06532614678144455,0.05965597927570343,-0.005670167505741119,64
1,20,random_count,0.06532614678144455,0.06326460093259811,-0.0020615458488464355,64
1,20,all,0.06532614678144455,0.06930188834667206,0.0039757415652275085,64
1,30,same,0.05130019038915634,0.05165501683950424,0.0003548264503479004,64
1,30,different,0.05130019038915634,0.048682864755392075,-0.002617325633764267,64
1,30,random_count,0.05130019038915634,0.04570751264691353,-0.005592677742242813,64
1,30,all,0.05130019038915634,0.04151270166039467,-0.009787488728761673,64
1,40,same,0.06783562153577805,0.10340173542499542,0.03556611388921738,64
1,40,different,0.06783562153577805,0.06487241387367249,-0.0029632076621055603,64
1,40,random_count,0.06783562153577805,0.058331478387117386,-0.00950414314866066,64
1,40,all,0.06783562153577805,0.055687129497528076,-0.01214849203824997,64
1,49,same,0.045116983354091644,0.04838535934686661,0.0032683759927749634,64
1,49,different,0.045116983354091644,0.04074558615684509,-0.0043713971972465515,64
1,49,random_count,0.045116983354091644,0.04838324338197708,0.003266260027885437,64
1,49,all,0.045116983354091644,0.03948308154940605,-0.005633901804685593,64
