pool_index,layer,head,baseline_mse,ablated_mse,delta_mse,relative_delta,num_prompts
0,0,0,0.05865250900387764,0.06295646727085114,0.0043039582669734955,0.07338063349712066,64
0,0,1,0.05865250900387764,0.05889089033007622,0.00023838132619857788,0.004064298872171925,64
0,0,2,0.05865250900387764,0.05953841283917427,0.0008859038352966309,0.015104278577800613,64
0,0,3,0.05865250900387764,0.057476580142974854,-0.0011759288609027863,-0.020049080267052072,64
0,1,0,0.05865250900387764,0.05997386574745178,0.0013213567435741425,0.02252856298891248,64
0,1,1,0.05865250900387764,0.06061612442135811,0.0019636154174804688,0.033478796573172535,64
0,1,2,0.05865250900387764,0.06274787336587906,0.004095364362001419,0.06982419731883664,64
0,1,3,0.05865250900387764,0.07759929448366165,0.018946785479784012,0.3230345265913239,64
0,2,0,0.05865250900387764,0.08148006349802017,0.022827554494142532,0.3891999657208894,64
0,2,1,0.05865250900387764,0.06367484480142593,0.005022335797548294,0.08562866078125708,64
0,2,2,0.05865250900387764,0.06220817565917969,0.0035556666553020477,0.06062258402289922,64
0,2,3,0.05865250900387764,0.06608288735151291,0.007430378347635269,0.126684748422567,64
0,3,0,0.05865250900387764,0.07138150185346603,0.012728992849588394,0.21702384204109376,64
0,3,1,0.05865250900387764,0.06768545508384705,0.009032946079969406,0.15400783757124886,64
0,3,2,0.05865250900387764,0.06632181257009506,0.0076693035662174225,0.13075832042546776,64
0,3,3,0.05865250900387764,0.05946509167551994,0.0008125826716423035,0.013854184338043028,64
0,4,0,0.05865250900387764,0.080373115837574,0.021720606833696365,0.37032698519154644,64
0,4,1,0.05865250900387764,0.060820627957582474,0.002168118953704834,0.03696549372720832,64
0,4,2,0.05865250900387764,0.06007571518421173,0.0014232061803340912,0.02426505198977481,64
0,4,3,0.05865250900387764,0.08472681045532227,0.026074301451444626,0.4445556020336017,64
0,5,0,0.05865250900387764,0.061181019991636276,0.0025285109877586365,0.04311002258314919,64
0,5,1,0.05865250900387764,0.06185856834053993,0.0032060593366622925,0.05466192991668389,64
0,5,2,0.05865250900387764,0.06567353755235672,0.00702102854847908,0.1197055107718444,64
0,5,3,0.05865250900387764,0.0643572211265564,0.005704712122678757,0.09726288302865856,64
1,0,0,0.05475093051791191,0.0551668144762516,0.00041588395833969116,0.007595924934938552,64
1,0,1,0.05475093051791191,0.058968205004930496,0.004217274487018585,0.07702653538576602,64
1,0,2,0.05475093051791191,0.055582400411367416,0.0008314698934555054,0.015186406615834619,64
1,0,3,0.05475093051791191,0.05893564224243164,0.00418471172451973,0.07643179184094887,64
1,1,0,0.05475093051791191,0.056043487042188644,0.0012925565242767334,0.02360793710766728,64
1,1,1,0.05475093051791191,0.06071445345878601,0.0059635229408741,0.10892094224433678,64
1,1,2,0.05475093051791191,0.05400104448199272,-0.0007498860359191895,-0.013696315821703997,64
1,1,3,0.05475093051791191,0.09240218251943588,0.03765125200152397,0.6876824127859997,64
1,2,0,0.05475093051791191,0.07067028433084488,0.015919353812932968,0.2907595115197933,64
1,2,1,0.05475093051791191,0.058930426836013794,0.004179496318101883,0.07633653489520535,64
1,2,2,0.05475093051791191,0.06159321591258049,0.006842285394668579,0.12497112523603844,64
1,2,3,0.05475093051791191,0.05493062734603882,0.00017969682812690735,0.0032820780655926384,64
1,3,0,0.05475093051791191,0.09414023905992508,0.03938930854201317,0.7194271981990776,64
1,3,1,0.05475093051791191,0.05328391492366791,-0.0014670155942440033,-0.026794349983463223,64
1,3,2,0.05475093051791191,0.06568118184804916,0.010930251330137253,0.1996359007334452,64
1,3,3,0.05475093051791191,0.051792871206998825,-0.002958059310913086,-0.0540275623241019,64
1,4,0,0.05475093051791191,0.07316536456346512,0.018414434045553207,0.3363309786888927,64
1,4,1,0.05475093051791191,0.057908475399017334,0.003157544881105423,0.057671072458115626,64
1,4,2,0.05475093051791191,0.0665283277630806,0.011777397245168686,0.2151086225119146,64
1,4,3,0.05475093051791191,0.06941615790128708,0.014665227383375168,0.2678534820209046,64
1,5,0,0.05475093051791191,0.054817330092191696,6.639957427978516e-05,0.001212757000665945,64
1,5,1,0.05475093051791191,0.054946303367614746,0.00019537284970283508,0.003568393228227417,64
1,5,2,0.05475093051791191,0.058485496789216995,0.0037345662713050842,0.06821009681315099,64
1,5,3,0.05475093051791191,0.06263581663370132,0.007884886115789413,0.14401373713759694,64
2,0,0,0.048693522810935974,0.05646451190114021,0.007770989090204239,0.15958979021126357,64
2,0,1,0.048693522810935974,0.05022161826491356,0.0015280954539775848,0.03138190391110933,64
2,0,2,0.048693522810935974,0.05117061361670494,0.0024770908057689667,0.050871053534902004,64
2,0,3,0.048693522810935974,0.05138729140162468,0.0026937685906887054,0.05532088120000217,64
2,1,0,0.048693522810935974,0.047865960747003555,-0.0008275620639324188,-0.016995321269496714,64
2,1,1,0.048693522810935974,0.04957515001296997,0.0008816272020339966,0.0181056360501789,64
2,1,2,0.048693522810935974,0.04939393326640129,0.0007004104554653168,0.014384057981806751,64
2,1,3,0.048693522810935974,0.08644190430641174,0.03774838149547577,0.7752238761049902,64
2,2,0,0.048693522810935974,0.06237730383872986,0.013683781027793884,0.2810185059036159,64
