pool_index,stage,position,clean_mse,corrupt_mse,patched_mse,recovery,num_prompts
0,0,49,0.058979231864213943,0.05155617743730545,0.05155617743730545,-0.0,64
0,1,49,0.058979231864213943,0.05155617743730545,0.05177656188607216,0.02968918670426372,64
0,2,49,0.058979231864213943,0.05155617743730545,0.053969286382198334,0.32508301925828165,64
0,3,49,0.058979231864213943,0.05155617743730545,0.06567436456680298,1.9019377091216236,64
0,4,49,0.058979231864213943,0.05155617743730545,0.06450791656970978,1.7447991607335132,64
0,5,49,0.058979231864213943,0.05155617743730545,0.07908563315868378,3.7086425805114653,64
0,6,49,0.058979231864213943,0.05155617743730545,0.058979231864213943,1.0000000001347156,64
1,0,49,0.045116983354091644,0.04838535934686661,0.04838535934686661,0.0,64
1,1,49,0.045116983354091644,0.04838535934686661,0.05140948295593262,-0.9252679663618374,64
1,2,49,0.045116983354091644,0.04838535934686661,0.049877848476171494,-0.4566454814707735,64
1,3,49,0.045116983354091644,0.04838535934686661,0.04804523289203644,0.10406588944417156,64
1,4,49,0.045116983354091644,0.04838535934686661,0.049551598727703094,-0.35682534171641744,64
1,5,49,0.045116983354091644,0.04838535934686661,0.05403453856706619,-1.7284361502346006,64
1,6,49,0.045116983354091644,0.04838535934686661,0.045116983354091644,0.9999999996940376,64
2,0,49,0.05023207515478134,0.07421305030584335,0.07421305030584335,0.0,64
2,1,49,0.05023207515478134,0.07421305030584335,0.0725555419921875,0.06911763609051286,64
2,2,49,0.05023207515478134,0.07421305030584335,0.06846682727336884,0.23961590369190752,64
2,3,49,0.05023207515478134,0.07421305030584335,0.06793277710676193,0.2618856472373856,64
2,4,49,0.05023207515478134,0.07421305030584335,0.06282263994216919,0.47497694699436593,64
2,5,49,0.05023207515478134,0.07421305030584335,0.05899965763092041,0.6343942470419021,64
2,6,49,0.05023207515478134,0.07421305030584335,0.05023207515478134,0.9999999999583004,64
3,0,49,0.048255883157253265,0.05769652500748634,0.05769652500748634,0.0,64
3,1,49,0.048255883157253265,0.05769652500748634,0.057766567915678024,-0.007419295138553777,64
3,2,49,0.048255883157253265,0.05769652500748634,0.05673155188560486,0.10221477915248381,64
3,3,49,0.048255883157253265,0.05769652500748634,0.0697072371840477,-1.2722347024522056,64
3,4,49,0.048255883157253265,0.05769652500748634,0.06346971541643143,-0.6115252013496334,64
3,5,49,0.048255883157253265,0.05769652500748634,0.059399113059043884,-0.18034664150882487,64
3,6,49,0.048255883157253265,0.05769652500748634,0.048255883157253265,0.999999999894075,64
4,0,49,0.07526510953903198,0.10200580209493637,0.10200580209493637,0.0,64
4,1,49,0.07526510953903198,0.10200580209493637,0.10147828608751297,0.019727088455201488,64
4,2,49,0.07526510953903198,0.10200580209493637,0.10160413384437561,0.015020861920685396,64
4,3,49,0.07526510953903198,0.10200580209493637,0.10064154118299484,0.05101815927311423,64
4,4,49,0.07526510953903198,0.10200580209493637,0.09139668196439743,0.3967406643624751,64
4,5,49,0.07526510953903198,0.10200580209493637,0.08094607293605804,0.7875536175461076,64
4,6,49,0.07526510953903198,0.10200580209493637,0.07526510953903198,0.9999999999626039,64
5,0,49,0.1656785011291504,0.16734813153743744,0.16734813153743744,0.0,64
5,1,49,0.1656785011291504,0.16734813153743744,0.15924905240535736,4.850821527345372,64
5,2,49,0.1656785011291504,0.16734813153743744,0.14980557560920715,10.506849797807146,64
5,3,49,0.1656785011291504,0.16734813153743744,0.1498292088508606,10.492695023479854,64
5,4,49,0.1656785011291504,0.16734813153743744,0.17590239644050598,-5.123448192777774,64
