family,value,pool_index,method,mse,actual_pool_cosine,mean_minority_context,num_prompts
similarity,-0.5,5,transformer,0.04596161535952423,-0.5,,128
similarity,-0.5,5,known_pool,0.0428381328265655,-0.5,,128
similarity,-0.5,5,ridge_current,0.4440240617717188,-0.5,,128
similarity,-0.5,5,ridge_history,0.729049081663055,-0.5,,128
similarity,-0.5,5,em_ridge_K2,0.04414484964373992,-0.5,,128
similarity,-0.5,6,transformer,0.0724200263398531,-0.4999999701976776,,128
similarity,-0.5,6,known_pool,0.03981210930206683,-0.4999999701976776,,128
similarity,-0.5,6,ridge_current,0.42782429034251634,-0.4999999701976776,,128
similarity,-0.5,6,ridge_history,0.7860194180258323,-0.4999999701976776,,128
similarity,-0.5,6,em_ridge_K2,0.05025911428419064,-0.4999999701976776,,128
similarity,-0.5,7,transformer,0.08802395146937216,-0.5,,128
similarity,-0.5,7,known_pool,0.039538174072913296,-0.5,,128
similarity,-0.5,7,ridge_current,0.4105767187243935,-0.5,,128
similarity,-0.5,7,ridge_history,0.8955597796794013,-0.5,,128
similarity,-0.5,7,em_ridge_K2,0.04325724603794569,-0.5,,128
similarity,-0.5,8,transformer,0.03942031817421768,-0.5,,128
similarity,-0.5,8,known_pool,0.03539104102301985,-0.5,,128
similarity,-0.5,8,ridge_current,0.4363226289814935,-0.5,,128
similarity,-0.5,8,ridge_history,0.8027559021451444,-0.5,,128
similarity,-0.5,8,em_ridge_K2,0.039033322513340074,-0.5,,128
similarity,-0.5,9,transformer,0.13068498557748598,-0.49999988079071045,,128
similarity,-0.5,9,known_pool,0.1547093494477892,-0.49999988079071045,,128
similarity,-0.5,9,ridge_current,0.49509835170808003,-0.49999988079071045,,128
similarity,-0.5,9,ridge_history,0.8541010811092264,-0.49999988079071045,,128
similarity,-0.5,9,em_ridge_K2,0.1437557507481766,-0.49999988079071045,,128
similarity,0,0,transformer,0.046070445922766524,0.0,,128
similarity,0,0,known_pool,0.03854226745161778,0.0,,128
similarity,0,0,ridge_current,0.4646196513667016,0.0,,128
similarity,0,0,ridge_history,0.549684278631005,0.0,,128
similarity,0,0,em_ridge_K2,0.03747825437803917,0.0,,128
similarity,0,1,transformer,0.047169204818570995,2.9802322387695312e-08,,128
similarity,0,1,known_pool,0.0411484989066445,2.9802322387695312e-08,,128
similarity,0,1,ridge_current,0.382959003862244,2.9802322387695312e-08,,128
similarity,0,1,ridge_history,0.5053033759720336,2.9802322387695312e-08,,128
similarity,0,1,em_ridge_K2,0.04172228660753166,2.9802322387695312e-08,,128
similarity,0,2,transformer,0.06585203384378506,-1.7881393432617188e-07,,128
similarity,0,2,known_pool,0.05802338141825018,-1.7881393432617188e-07,,128
similarity,0,2,ridge_current,0.4915975779836074,-1.7881393432617188e-07,,128
similarity,0,2,ridge_history,0.6465155733147133,-1.7881393432617188e-07,,128
similarity,0,2,em_ridge_K2,0.04818642104085062,-1.7881393432617188e-07,,128
similarity,0,3,transformer,0.04266675134537004,2.9802322387695312e-08,,128
similarity,0,3,known_pool,0.03312475275521006,2.9802322387695312e-08,,128
similarity,0,3,ridge_current,0.4119056860400999,2.9802322387695312e-08,,128
similarity,0,3,ridge_history,0.5112681572723148,2.9802322387695312e-08,,128
similarity,0,3,em_ridge_K2,0.043563756083287886,2.9802322387695312e-08,,128
similarity,0,4,transformer,0.05314951434984901,-8.940696716308594e-08,,128
similarity,0,4,known_pool,0.05575598978377907,-8.940696716308594e-08,,128
similarity,0,4,ridge_current,0.5472521052425179,-8.940696716308594e-08,,128
similarity,0,4,ridge_history,0.5510253920655017,-8.940696716308594e-08,,128
similarity,0,4,em_ridge_K2,0.060891865763695804,-8.940696716308594e-08,,128
similarity,0,5,transformer,0.04441040748513219,8.940696716308594e-08,,128
similarity,0,5,known_pool,0.044032313897345216,8.940696716308594e-08,,128
