family,value,method,mean_mse,stderr,ci95_low,ci95_high,num_pools
imbalance,0.5,ridge_current,0.3967492269028213,0.0185896835189723,0.35469644117622634,0.4388020126294162,10
imbalance,0.5,ridge_history,0.7519042977497014,0.09033848255934505,0.5475444523517582,0.9562641431476445,10
imbalance,0.5,transformer,0.05043979765105022,0.004502678414043855,0.040254031424944055,0.06062556387715639,10
imbalance,0.8,assignment_oracle,0.03901139661229851,0.0020278554422929027,0.0344240688983963,0.04359872432620072,10
imbalance,0.8,em_ridge_K2,0.07306536533056047,0.006762192758676923,0.05776822254529732,0.08836250811582363,10
imbalance,0.8,known_pool_uniform,0.04715892683964999,0.004553463340428329,0.036858277128561004,0.05745957655073898,10
imbalance,0.8,ridge_current,0.3967492269028213,0.0185896835189723,0.35469644117622634,0.4388020126294162,10
imbalance,0.8,ridge_history,1.7741366363003095,0.20554394108380922,1.3091639377077984,2.2391093348928206,10
imbalance,0.8,transformer,0.08665801238086385,0.01027017158279474,0.06342527017167815,0.10989075459004954,10
imbalance,0.95,assignment_oracle,0.03901139661229851,0.0020278554422929027,0.0344240688983963,0.04359872432620072,10
imbalance,0.95,em_ridge_K2,0.4286541322715826,0.03530749766142027,0.34878302353631985,0.5085252410068454,10
imbalance,0.95,known_pool_uniform,0.04715892683964999,0.004553463340428329,0.036858277128561004,0.05745957655073898,10
imbalance,0.95,ridge_current,0.3967492269028213,0.0185896835189723,0.35469644117622634,0.4388020126294162,10
imbalance,0.95,ridge_history,2.459080771688022,0.2799394356321312,1.8258137722231096,3.0923477711529346,10
imbalance,0.95,transformer,0.37229608303919043,0.029204947596551616,0.306229901644505,0.4383622644338759,10
imbalance,0.99,assignment_oracle,0.03901139661229851,0.0020278554422929027,0.0344240688983963,0.04359872432620072,10
imbalance,0.99,em_ridge_K2,1.6779878210427874,0.17376647475678045,1.2849007455175432,2.0710748965680317,10
imbalance,0.99,known_pool_uniform,0.04715892683964999,0.004553463340428329,0.036858277128561004,0.05745957655073898,10
imbalance,0.99,ridge_current,0.3967492269028213,0.0185896835189723,0.35469644117622634,0.4388020126294162,10
imbalance,0.99,ridge_history,2.6885530003672207,0.31088500896004667,1.985282250541667,3.391823750192774,10
imbalance,0.99,transformer,0.9661122971095188,0.09674215174684787,0.7472663455908761,1.1849582486281616,10
similarity,-1.0,assignment_oracle,0.03846701265590408,0.0016267697354334497,0.03478700384666997,0.0421470214651382,10
similarity,-1.0,em_ridge_K2,0.048037657018514465,0.004438525470817414,0.037997014832442576,0.058078299204586355,10
similarity,-1.0,known_pool_uniform,0.04513864557921223,0.004658094123780248,0.03460130459211452,0.05567598656630995,10
similarity,-1.0,ridge_current,0.41268804689941074,0.03083863551293492,0.3429262066829019,0.4824498871159196,10
similarity,-1.0,ridge_history,1.0642784433465091,0.05159813177278332,0.9475553599697017,1.1810015267233165,10
similarity,-1.0,transformer,0.058032667553758466,0.007679308082750721,0.040660865769029775,0.07540446933848716,10
similarity,-0.5,assignment_oracle,0.03846701260593473,0.0016267697967391772,0.034787003658017415,0.04214702155385204,10
similarity,-0.5,em_ridge_K2,0.04337354034013506,0.001323395521416092,0.04037981168214858,0.04636726899812154,10
similarity,-0.5,known_pool_uniform,0.039806770329643304,0.0012006250272928352,0.03709076782431803,0.04252277283496858,10
similarity,-0.5,ridge_current,0.39881876907703984,0.02335905475400806,0.34597691604906505,0.4516606221050146,10
similarity,-0.5,ridge_history,0.7835748581075259,0.03043877683043476,0.7147175610737418,0.85243215514131,10
similarity,-0.5,transformer,0.049883130372579645,0.0034079260105788845,0.04217386613746231,0.05759239460769698,10
similarity,0.0,assignment_oracle,0.03846701194153592,0.0016267696307699564,0.03478700336906707,0.04214702051400477,10
similarity,0.0,em_ridge_K2,0.04822073795042329,0.003795985875306132,0.039633621312718706,0.05680785458812787,10
similarity,0.0,known_pool_uniform,0.04352160785219339,0.0030692054525595118,0.03657858275358658,0.0504646329508002,10
similarity,0.0,ridge_current,0.3797793180942331,0.02039768707361518,0.33363654417613814,0.42592209201232806,10
similarity,0.0,ridge_history,0.5363173418726523,0.020085920974702794,0.49087983186832973,0.581754851876975,10
similarity,0.0,transformer,0.054584405570538216,0.0033289176633377175,0.047053870634053335,0.0621149405070231,10
similarity,0.5,assignment_oracle,0.038467012865148996,0.0016267697629561155,0.03478700399365428,0.04214702173664371,10
similarity,0.5,em_ridge_K2,0.0514586555970854,0.004262683301605653,0.041815796033617875,0.06110151516055293,10
similarity,0.5,known_pool_uniform,0.048519122267480244,0.004064142250421169,0.03932539376505918,0.057712850769901305,10
similarity,0.5,ridge_current,0.3672900348852686,0.023110363017681462,0.3150107616499538,0.41956930812058346,10
similarity,0.5,ridge_history,0.2890563928000528,0.010312915851130863,0.26572695633808197,0.31238582926202363,10
similarity,0.5,transformer,0.05773237764017092,0.0035704452683708765,0.04965546930194678,0.06580928597839505,10
similarity,0.9,assignment_oracle,0.03846701335488184,0.0016267694612175107,0.03478700516596727,0.04214702154379641,10
similarity,0.9,em_ridge_K2,0.05241807620292943,0.0022698892865278277,0.0472832298946516,0.05755292251120726,10
similarity,0.9,known_pool_uniform,0.048534614215477945,0.002036513094962296,0.043927701530576645,0.053141526900379245,10
similarity,0.9,ridge_current,0.37142365052053106,0.026359809347916315,0.3117936189941471,0.431053682046915,10
similarity,0.9,ridge_history,0.08777292496455433,0.0021169758202914473,0.08298399294921142,0.09256185697989723,10
similarity,0.9,transformer,0.057065132382794315,0.0023246364013608345,0.05180643949655446,0.06232382526903417,10
similarity,0.99,assignment_oracle,0.038467012833222694,0.001626769605531567,0.03478700431784705,0.04214702134859834,10
similarity,0.99,em_ridge_K2,0.0454646331317431,0.0018758803332801289,0.04122109699926117,0.04970816926422503,10
similarity,0.99,known_pool_uniform,0.04106494654112534,0.00150985891905587,0.037649408372568346,0.04448048470968233,10
similarity,0.99,ridge_current,0.3799936834257017,0.02673618376743898,0.3195122338103005,0.4404751330411029,10
similarity,0.99,ridge_history,0.043450601754575116,0.0016352533175829312,0.03975140174921536,0.04714980175993487,10
similarity,0.99,transformer,0.044927595303847184,0.001738984178351481,0.04099373978879663,0.048861450818897735,10
similarity,1.0,assignment_oracle,0.03846701297667972,0.0016267700033015954,0.03478700356148576,0.04214702239187368,10
similarity,1.0,em_ridge_K2,0.041791352046113464,0.0018774844104990915,0.03754418723886098,0.04603851685336595,10
similarity,1.0,known_pool_uniform,0.03846701297667972,0.0016267700033015954,0.03478700356148576,0.04214702239187368,10
similarity,1.0,ridge_current,0.3845395440289426,0.02667573654112848,0.324194835539511,0.44488425251837416,10
similarity,1.0,ridge_history,0.03991609518341425,0.0017602915847625192,0.03593403896633031,0.04389815140049819,10
similarity,1.0,transformer,0.0432050919799596,0.001876875034702104,0.03895930567653111,0.04745087828338809,10
