model_type,pool_index,layer,pool_cosine,selectivity,same_attention,different_attention,input_attention,output_attention
trained,0,0,-0.5101710557937622,0.0015911373755576963,0.010888845131064336,0.010856971146963499,0.001915540871422372,0.019829803846497726
trained,0,1,-0.5101710557937622,0.08947664035748443,0.012869978184391862,0.010648472932207229,0.012570574993962977,0.010935902237648497
trained,0,2,-0.5101710557937622,-0.042003136940568904,0.008626378886188401,0.00974284788611692,0.004223979218482687,0.014151272561048452
trained,0,3,-0.5101710557937622,0.15750819037306305,0.014173793629405353,0.010696905361490358,0.01650675953800902,0.008330020656473426
trained,0,4,-0.5101710557937622,0.21894848920208562,0.015577683334191003,0.010061171258214797,0.01572288145789509,0.009874365620907445
trained,0,5,-0.5101710557937622,0.5585100739426544,0.019778762818924753,0.00575122654288528,0.01340665846282739,0.012019483988487971
trained,1,0,-0.6682425141334534,0.013181537115489644,0.011077587703621489,0.010790978894188624,0.00197238273874214,0.019897276977427693
trained,1,1,-0.6682425141334534,0.11088370769713472,0.013164575844451814,0.01044230124353141,0.012543632055906256,0.011071387031896971
trained,1,2,-0.6682425141334534,-0.023273337817628404,0.00900488707877322,0.009715111861383564,0.004059566765354578,0.014661944338728734
trained,1,3,-0.6682425141334534,0.15749406059599844,0.0141751479133183,0.010745308871445697,0.01661115486439858,0.00830987927771098
trained,1,4,-0.6682425141334534,0.23569716136965402,0.015713556907261884,0.009861036343621954,0.015694547675459174,0.009880514544922682
trained,1,5,-0.6682425141334534,0.5704929549826443,0.019863640018778012,0.005550706163740103,0.01306580145681771,0.012361087907758245
trained,2,0,-0.38461440801620483,0.01066986633275506,0.01112499922701205,0.010887314367968323,0.0020139490820692122,0.019997114402953695
trained,2,1,-0.38461440801620483,0.09391339760444369,0.012989408108760736,0.010670749904733384,0.012584575852711818,0.01106545864574056
trained,2,2,-0.38461440801620483,-0.021095476990171367,0.008856810252609395,0.009501301455017009,0.004202627734246278,0.014158198983691495
trained,2,3,-0.38461440801620483,0.16027772805069626,0.014250287609518887,0.010692692807808218,0.016604310758897605,0.00832216632672556
trained,2,4,-0.38461440801620483,0.20745215432319952,0.015402699835944904,0.010212989520066256,0.01575963763771431,0.009831809722702284
trained,2,5,-0.38461440801620483,0.5709269006770777,0.019945811551168518,0.005561344497899918,0.013141616573821237,0.012299081969419133
trained,3,0,0.22948607802391052,0.003944519710380055,0.011028479970342094,0.010959348952683709,0.0020477623737017495,0.01993920309426867
trained,3,1,0.22948607802391052,0.046966978065181825,0.012427916035747515,0.011244417935690912,0.012896923419463505,0.010765718729134262
trained,3,2,0.22948607802391052,-0.014288405715416225,0.0091055092945693,0.00953794821474269,0.004240969545551092,0.014406534610791326
trained,3,3,0.22948607802391052,0.1014521621744589,0.013632019348924647,0.011406056323516779,0.015062572964405864,0.009955938807237249
trained,3,4,0.22948607802391052,0.15235187991329066,0.014706633546782574,0.010936274285614687,0.016097508148816064,0.009512219378141826
trained,3,5,0.22948607802391052,0.4717705940804366,0.01873361001237302,0.006863110415152376,0.013726109322984103,0.011766927168850286
trained,4,0,0.5655080080032349,0.009911468121977312,0.011024157065234507,0.010822856703069234,0.002073216002336555,0.01977422747522373
trained,4,1,0.5655080080032349,0.018932691559274708,0.012108196113779337,0.011542653189048452,0.0130330074318767,0.010619617102604598
trained,4,2,0.5655080080032349,0.004262857380170625,0.009262338470658877,0.009276962488296465,0.004237585887451478,0.01430202611012473
trained,4,3,0.5655080080032349,0.0547435469823287,0.013168858018878944,0.011976304497819617,0.0141798324455864,0.010968396301373898
trained,4,4,0.5655080080032349,0.09792156694406412,0.013958475676584675,0.01159894141176287,0.016511265175731732,0.009051878125113258
trained,4,5,0.5655080080032349,0.4014208469333949,0.017791377068231775,0.0077068475888492525,0.013479530172266253,0.012042986516431058
trained,5,0,0.4275728166103363,0.0067612610096617265,0.011069922260353497,0.010942067890072259,0.0020131704380175856,0.01999798218852707
trained,5,1,0.4275728166103363,0.01734641325825255,0.012129902008627978,0.011661735268293685,0.012897382371730534,0.010890448947608433
trained,5,2,0.4275728166103363,0.009448636470674286,0.009318588748968485,0.009209998162006747,0.004235280501865306,0.014292619103521462
trained,5,3,0.4275728166103363,0.06814469052591202,0.013309049880983503,0.011849372753286416,0.01414778461360928,0.01099921361384322
trained,5,4,0.4275728166103363,0.12060443234151404,0.014296183248396691,0.011334373870674564,0.016267852509413292,0.009337303787311476
trained,5,5,0.4275728166103363,0.4394652662900222,0.018407981615670366,0.007226243759109391,0.013738827427053008,0.011795537033363281
trained,6,0,-0.6407904624938965,0.010928954136482186,0.01110772343508215,0.01086497935415439,0.0019397918704333302,0.02003143952669504
trained,6,1,-0.6407904624938965,0.09091743857704825,0.01301850925553029,0.010719027070522344,0.012450302040318975,0.011275995953487392
trained,6,2,-0.6407904624938965,-0.052322070274398676,0.008773427840324371,0.010056492531040578,0.004178869241103898,0.014657568142595204
trained,6,3,-0.6407904624938965,0.16486609729168297,0.014252045695487442,0.01060443010597617,0.01677894929065971,0.00805849116281057
trained,6,4,-0.6407904624938965,0.22605470635512767,0.01564392146403742,0.009963312136184697,0.015529392878028679,0.010046048931853504
trained,6,5,-0.6407904624938965,0.5585502441676299,0.019801207839692126,0.005731037131015487,0.013230958620488618,0.012226624112859234
trained,7,0,0.23712193965911865,0.009010391390561387,0.011130533111538122,0.01093819557022215,0.0020724975285339414,0.01999425469758306
trained,7,1,0.23712193965911865,0.052239025382183474,0.012483730859680494,0.011175604485472253,0.012846787336882722,0.010797525063997069
trained,7,2,0.23712193965911865,-0.013619532510297424,0.008997895125225598,0.009361530040741249,0.004215238228070184,0.014146873983237768
trained,7,3,0.23712193965911865,0.08760829269557678,0.013471101639864196,0.01153441998421973,0.014808048651914816,0.010175333644462487
trained,7,4,0.23712193965911865,0.14813206984053534,0.014655746223504797,0.010992430605559761,0.01605604290619045,0.00955257846428981
trained,7,5,0.23712193965911865,0.47233894095313733,0.018817033553672712,0.006765685776116144,0.01378912918967598,0.011652992479925522
trained,8,0,0.5009912252426147,0.006950285606423449,0.011136508824011323,0.010975310392195223,0.0021021751636081444,0.020009340407314145
trained,8,1,0.5009912252426147,0.04561486958097366,0.012457916233638932,0.011384075362415794,0.012857346561955934,0.010990037830395235
trained,8,2,0.5009912252426147,-0.009967726822931485,0.009145096015599818,0.009420986903681644,0.004220620372880128,0.014340234442894895
trained,8,3,0.5009912252426147,0.08345403346495688,0.013398732803091581,0.011630080851162008,0.014569074367363086,0.010462869215643671
trained,8,4,0.5009912252426147,0.11281728620989591,0.014137757874511004,0.011433076935069569,0.016041043328328262,0.009533392820167281
trained,8,5,0.5009912252426147,0.42678416115683687,0.01802048915295976,0.007433746561512365,0.013216259152218785,0.012281029826017467
trained,9,0,0.28277045488357544,-0.0009098875094302215,0.010950978825923842,0.01096966802145829,0.0020609230144939847,0.019860038156420533
trained,9,1,0.28277045488357544,0.045031193199943864,0.012372006758006688,0.011252832645725424,0.012967599123252278,0.010646968619635828
trained,9,2,0.28277045488357544,-0.021015658038094034,0.009066486251183987,0.009545112859307855,0.004312067893364091,0.014301833796870307
trained,9,3,0.28277045488357544,0.0753720323139877,0.013338998193721176,0.011730645465116105,0.014343545782588882,0.010714502762997832
trained,9,4,0.28277045488357544,0.1378839961614247,0.014494271104087608,0.011120945904244332,0.016481878971438137,0.009105027721990998
trained,9,5,0.28277045488357544,0.4884919918919843,0.018986282552951744,0.006599236523172194,0.013366213656144633,0.012112957661941882
untrained,0,0,-0.5101710557937622,0.00016159583761213208,0.0129487982995969,0.012944253834868302,0.012925234825409476,0.012967819115146996
untrained,0,1,-0.5101710557937622,0.00010476156550973051,0.012945499954909364,0.012942011528969663,0.012951227416846131,0.012936384147064772
untrained,0,2,-0.5101710557937622,-0.00017848873298856373,0.01294390891079823,0.012948788580341361,0.012952212445478034,0.012940484674514405
untrained,0,3,-0.5101710557937622,8.225987789220923e-05,0.012947693319131119,0.012945958829758792,0.012971783201569219,0.012921818882034766
untrained,0,4,-0.5101710557937622,-5.028356552326328e-05,0.012945585677165613,0.012945905340013381,0.01292493288091631,0.012966685215129501
untrained,0,5,-0.5101710557937622,0.00013177350799311967,0.0129477337209474,0.012944250230925268,0.01298221511932094,0.012909769339543976
untrained,1,0,-0.6682425141334534,-7.187559621003886e-05,0.012946261898018237,0.012947525477067096,0.012932217490538328,0.012961603510204084
untrained,1,1,-0.6682425141334534,-9.246402451361376e-05,0.012943091216218908,0.012945628658880041,0.01294359171835921,0.012945264712178788
untrained,1,2,-0.6682425141334534,-3.7249500368436804e-05,0.012945890675606234,0.012946174361348201,0.012940094361499862,0.012952050871412163
untrained,1,3,-0.6682425141334534,-3.300636513700262e-05,0.012946282029087451,0.012947142682388625,0.01296743779008165,0.012925961103697906
untrained,1,4,-0.6682425141334534,-0.00014701599184880127,0.012944881586197192,0.01294771786989038,0.012930940533724199,0.012961737541038366
untrained,1,5,-0.6682425141334534,0.00021167963461418782,0.012949200272858744,0.012943703226173406,0.012992668165846426,0.012900233320794713
untrained,2,0,-0.38461440801620483,-0.0001268245956319433,0.012943814328200983,0.012948161928434449,0.012931812692078807,0.01296019467753263
untrained,2,1,-0.38461440801620483,-7.70656916519869e-05,0.012943102013087333,0.012945516095050208,0.012952871482487758,0.012935751018086935
untrained,2,2,-0.38461440801620483,-6.551648312842075e-05,0.012944782776849845,0.012947357303710683,0.012945948568195984,0.012946211345876035
untrained,2,3,-0.38461440801620483,3.810543701119479e-05,0.012946446192269862,0.012946399396818591,0.012967997774494444,0.012924858355206225
untrained,2,4,-0.38461440801620483,0.00018398992627007116,0.012948892768206254,0.012943478808980191,0.012928304514560484,0.012964039684702007
untrained,2,5,-0.38461440801620483,-4.741379315524666e-05,0.012944595911642624,0.012946840367159049,0.012984605969981524,0.01290684134795493
untrained,3,0,0.22948607802391052,-0.00010398926516333614,0.012945033371118667,0.012947902594258091,0.012931338578669562,0.012961611498090228
untrained,3,1,0.22948607802391052,-1.2571021825235006e-05,0.012945425509345217,0.012944927268920263,0.012953664248760648,0.012936675803664048
untrained,3,2,0.22948607802391052,1.4667826014566968e-05,0.0129468464177986,0.012946666520587817,0.012944622030281072,0.012948882822612568
untrained,3,3,0.22948607802391052,0.0001693852541654173,0.012949232792902337,0.012945014386813064,0.01296532418792159,0.0129288942150269
untrained,3,4,0.22948607802391052,9.845679831070637e-05,0.012947131309766708,0.01294437610391515,0.01293131285595186,0.012960185695602188
untrained,3,5,0.22948607802391052,4.7345875675448e-05,0.012946462244561863,0.012945701290735856,0.012983513901552899,0.01290865221991079
untrained,4,0,0.5655080080032349,2.283261536106884e-05,0.012946382957969597,0.012946306098057608,0.012924062816612,0.012968624664297384
untrained,4,1,0.5655080080032349,-0.0001319460054066349,0.012943502661848046,0.012946778802095616,0.01295631483557281,0.012933952167266961
untrained,4,2,0.5655080080032349,0.00015752770366789847,0.012948916692038306,0.012944311503669481,0.012947631488942757,0.012945601480375222
untrained,4,3,0.5655080080032349,-0.00015266373413717763,0.012944283290127867,0.01294860692172146,0.012964460254929826,0.012928422142396723
untrained,4,4,0.5655080080032349,8.644780397605306e-05,0.012947742506955802,0.012945339480714276,0.01292673656326252,0.01296633778914995
untrained,4,5,0.5655080080032349,-0.00020468816983308676,0.012942287992487173,0.012949980539681154,0.012996708888712585,0.012895526198296472
untrained,5,0,0.4275728166103363,0.00010340345866323247,0.012947885645272819,0.01294476803264722,0.012923811810606428,0.012968812140323594
untrained,5,1,0.4275728166103363,3.7457342087172925e-06,0.01294481475916467,0.0129451254946435,0.01294884015246381,0.012941110571117782
untrained,5,2,0.4275728166103363,-3.9517253956329986e-05,0.01294631825821272,0.012947172991704654,0.012952577202610435,0.012940926001250928
untrained,5,3,0.4275728166103363,0.00012794961642498213,0.012947564417692202,0.012945007864650844,0.012970900340502039,0.012921681096713962
untrained,5,4,0.4275728166103363,0.00010706495809477325,0.012946450455920305,0.012944240871949788,0.012934485001462067,0.012956197901899226
untrained,5,5,0.4275728166103363,0.00015059629166584495,0.012947457049119081,0.012943193790747041,0.012993549303755654,0.01289703952034517
untrained,6,0,-0.6407904624938965,-1.965613974939551e-06,0.012946597643325931,0.012946779510665996,0.012921023040338339,0.012972350005016084
untrained,6,1,-0.6407904624938965,1.8828372668205425e-06,0.012944415091313192,0.01294358683221492,0.01295239334712713,0.012935593255791316
untrained,6,2,-0.6407904624938965,-5.66686527741421e-05,0.012946356595569851,0.012947288783304872,0.012951390412129261,0.012942242554532546
untrained,6,3,-0.6407904624938965,2.692526046109661e-05,0.01294638782833539,0.012946950493239543,0.01296085355636535,0.012932505883496093
untrained,6,4,-0.6407904624938965,-9.149178054398457e-05,0.012945257124276022,0.01294766657904818,0.012923225992340213,0.012969698250302178
untrained,6,5,-0.6407904624938965,9.991341602608368e-05,0.01294684038055921,0.012945006237791124,0.012983506051992444,0.012908339952889515
untrained,7,0,0.23712193965911865,5.260280617013158e-05,0.012946475181143962,0.012944773132053292,0.012933127476850657,0.01295809250065208
untrained,7,1,0.23712193965911865,3.206927899862346e-05,0.012945590262304364,0.012943899259294256,0.012950181773475155,0.012939258502498524
untrained,7,2,0.23712193965911865,8.158226295239512e-05,0.012948203981245026,0.01294594075428076,0.012943182613747087,0.012950929926598527
untrained,7,3,0.23712193965911865,-5.690987472946628e-05,0.01294622385454417,0.01294746117235164,0.01297420331925289,0.012919483278812567
untrained,7,4,0.23712193965911865,0.00015873778737028797,0.012948036630152935,0.012943626898215493,0.012928844735083378,0.01296274289736934
untrained,7,5,0.23712193965911865,5.81096433680677e-05,0.012945775412612874,0.012944470916669393,0.012987339206656566,0.012902895914540623
untrained,8,0,0.5009912252426147,-7.482699789440493e-05,0.012945942129037949,0.012947807752741179,0.012924012624713552,0.012969780563906916
untrained,8,1,0.5009912252426147,5.969593689951196e-05,0.012944937264158721,0.012943484750900881,0.012953165850428917,0.012935159883204247
untrained,8,2,0.5009912252426147,0.00016965165726930264,0.012949295463916067,0.01294411230512451,0.012952763926662303,0.012940735421660875
untrained,8,3,0.5009912252426147,-0.000102432085836953,0.012944598102922445,0.012948079354093624,0.012966914000961074,0.012925698706360698
untrained,8,4,0.5009912252426147,0.0001287729345868864,0.01294819236041856,0.012945210725042481,0.01293218158937298,0.012961285254525237
untrained,8,5,0.5009912252426147,-4.4102978284612334e-05,0.012945577681334551,0.012947046791181097,0.01298951853168051,0.012903148159564233
untrained,9,0,0.28277045488357544,7.619998397634368e-05,0.0129490493758697,0.012947139142007139,0.012931829233402532,0.012964329945531731
untrained,9,1,0.28277045488357544,9.784277625732672e-05,0.012945866575372398,0.012942860768060666,0.012947919682964956,0.01294077828176987
untrained,9,2,0.28277045488357544,-2.155482623397999e-05,0.012947135259412525,0.012947207075009978,0.012951421594593561,0.012942897561882662
untrained,9,3,0.28277045488357544,-2.198633708141919e-07,0.012946610262720051,0.012947427960977455,0.012966580089084516,0.012927504694997387
