model_type,pool_index,pool_cosine,layer,head,source_position,same_attention,different_attention,selectivity,input_attention,output_attention,self_attention,num_prompts
trained,0,-0.5101710557937622,0,3,20,0.02019787868110019,0.019498386969701725,0.017621096088334766,0.002805730327963829,0.036897094920277596,0.20594353042542934,128
trained,0,-0.5101710557937622,0,3,30,0.013521684615322408,0.013622627995391571,-0.0037187672243945958,0.002247843456765016,0.024894839028517406,0.18571952171623707,128
trained,0,-0.5101710557937622,0,3,40,0.010622593300614902,0.010646783919561477,-0.0011373449582007518,0.0016252521658316255,0.01964473966509104,0.149200351908803,128
trained,0,-0.5101710557937622,0,3,49,0.008763914310194382,0.008551305714880653,0.012278711734159923,0.001458852903499287,0.015851893139128784,0.1517734546214342,128
trained,0,-0.5101710557937622,1,0,5,0.060850053567152756,0.06930472510201591,-0.06495859484566856,0.010590862948447466,0.11943180933594703,0.3498866390436888,128
trained,0,-0.5101710557937622,1,0,10,0.03885317221283913,0.03211483135819435,0.0949489983581864,0.008587750699371099,0.06238025426864624,0.2903199642896652,128
trained,0,-0.5101710557937622,1,0,20,0.019993834635790658,0.019219944341701663,0.01973516233958102,0.005826107831671834,0.03339492604136467,0.21557932905852795,128
trained,0,-0.5101710557937622,1,0,30,0.013643587387139708,0.013266890184029882,0.013998161203181356,0.004529842113455137,0.02238671655456225,0.19250321201980114,128
trained,0,-0.5101710557937622,1,0,40,0.010197691544741094,0.01029843048822312,-0.004915024574653267,0.003897503949701786,0.016601176001131535,0.18005282245576382,128
trained,0,-0.5101710557937622,1,0,49,0.008910899208888946,0.007809734508292814,0.06585663672536184,0.003396794770141037,0.013300663962656138,0.1818245267495513,128
trained,0,-0.5101710557937622,1,1,5,0.09309268071101262,0.08155235411628844,0.06607875572340105,0.07195044755935669,0.10287490338087082,0.12587324064224958,128
trained,0,-0.5101710557937622,1,1,10,0.05087860524654388,0.040407559275627135,0.11470572814195626,0.050515609607100484,0.04077055379748344,0.08713834965601563,128
trained,0,-0.5101710557937622,1,1,20,0.02638384967396503,0.019910397213716235,0.13983276314689386,0.030909575894474982,0.015445358492434025,0.07290130201727152,128
trained,0,-0.5101710557937622,1,1,30,0.017634671263545676,0.013732491630041265,0.12440333372253481,0.023158655563990275,0.008271511892477672,0.05709500750526786,128
trained,0,-0.5101710557937622,1,1,40,0.01336859318918599,0.010782114392235165,0.10709743340329597,0.018406010791659357,0.0056790248956531285,0.0365985962562263,128
trained,0,-0.5101710557937622,1,1,49,0.010925539464049696,0.008852881241559536,0.10479391925349998,0.01567669395281344,0.004058105414923356,0.032994811655953526,128
trained,0,-0.5101710557937622,1,2,5,0.06697718473581167,0.07008273715064639,-0.022658355353395977,0.009979359060525893,0.12703204452991484,0.31494300439953804,128
trained,0,-0.5101710557937622,1,2,10,0.039427942410111425,0.032854465022683146,0.09094159451522288,0.006979494914412498,0.06530291512608528,0.27717590890824795,128
trained,0,-0.5101710557937622,1,2,20,0.020515694337732652,0.019618326181116915,0.022359288827589915,0.005157697899267078,0.03498473502695561,0.1971513293683529,128
trained,0,-0.5101710557937622,1,2,30,0.014174235655307036,0.013214886156953536,0.03502666149336074,0.0036467913538217544,0.02375782057642937,0.17786164209246635,128
trained,0,-0.5101710557937622,1,2,40,0.010581511724926905,0.011027105240594774,-0.02062110297749406,0.0029940899228677155,0.018625840172171594,0.13520275708287954,128
trained,0,-0.5101710557937622,1,2,49,0.009199752481441933,0.00829321075275047,0.05182322265833611,0.002630757586080201,0.014843126492840903,0.14377969317138195,128
trained,0,-0.5101710557937622,1,3,5,0.09516303649315468,0.07590010204012432,0.11260716141467438,0.11685166507959366,0.05451245419681072,0.14317941293120384,128
trained,0,-0.5101710557937622,1,3,10,0.053526817634701726,0.0365672018378973,0.18824352488540302,0.0751583844423294,0.014935636706650258,0.09905980806797743,128
trained,0,-0.5101710557937622,1,3,20,0.02881320231470161,0.018117434406882203,0.22790587673131704,0.04274140074849129,0.004289508145302534,0.05938181187957525,128
trained,0,-0.5101710557937622,1,3,30,0.019328949819278376,0.012558723013510837,0.21231486038685102,0.03020365759730339,0.0017933260494222244,0.04009050689637661,128
trained,0,-0.5101710557937622,1,3,40,0.014547023314512325,0.009852687563214984,0.192393089189842,0.023134180903434755,0.0011463384958915412,0.02877924544736743,128
