model_type,pool_index,layer,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention
trained,0,0,0,False,0.008121526261675172,0.0005310702458700689,0.007590456058096606,0.008401455330675926,0.007794151587759035
trained,0,0,1,False,0.006696949581964873,0.0006951799896341981,0.006001769477734342,0.006861103670810586,0.006516648918298669
trained,0,0,2,False,0.007322922952880617,0.000767578576642336,0.006555344531079754,0.0073292631535760815,0.007316967112604867
trained,0,0,3,False,0.007757508057693485,0.000981585428917242,0.006775922563974746,0.008048427107573395,0.007395135261232784
trained,0,0,4,False,0.008385379769606516,0.0008129225277571095,0.007572457179776393,0.008033492512543473,0.0086678807479395
trained,0,0,5,False,0.009306389794801362,0.001133107498390018,0.008173282352800015,0.009543745368441095,0.00904568803084434
trained,0,0,6,False,0.009528972776024602,0.0009104229875447345,0.008618549836683087,0.009635409711336251,0.009422535920748487
trained,0,0,7,False,0.01027635890932288,0.001086901320832112,0.009189457632601261,0.010658912073053858,0.009842798757987718
trained,0,0,8,False,0.011360901044099592,0.0011391241655474005,0.010221776959951967,0.011196741679062447,0.011535651380977324
trained,0,0,9,False,0.011874568808707409,0.0010937384895441937,0.010780830314615741,0.01249302199141959,0.011345746549035328
trained,0,0,10,False,0.011752221354981884,0.001013730831346038,0.010738490571384318,0.011919483214754749,0.01163016536549942
trained,0,0,11,False,0.012805346137611195,0.0015047691811105324,0.011300576850771904,0.013290919584490484,0.012390145546068316
trained,0,0,12,False,0.013991408020956442,0.001390724713473901,0.012600683083292097,0.014150269690956643,0.013816920658726185
trained,0,0,13,False,0.014691515563754365,0.0015179340111899364,0.013173581595765427,0.014573900945833884,0.01480913010891527
trained,0,0,14,False,0.014881088107358664,0.0015988083346201165,0.013282279716804624,0.014024518164140838,0.01554730927778615
trained,0,0,15,False,0.014942847396014258,0.001368150059988693,0.013574697193689644,0.015301583118030222,0.014645609339433057
trained,0,0,16,False,0.014936468156520277,0.0012367003591862158,0.013699767761863768,0.014999086241004989,0.014873850101139396
trained,0,0,17,False,0.015526811213931069,0.00113021624679277,0.014396595099242404,0.015057945688223016,0.01591529968593802
trained,0,0,18,False,0.016413626755820587,0.0014870379386593413,0.014926588773960248,0.016412415413250184,0.016414630093744824
trained,0,0,19,False,0.016570005100220442,0.0014996318877820158,0.015070373425260186,0.01614160546887433,0.0169984050153289
trained,0,0,20,False,0.017558204126544297,0.0019859151952914544,0.015572289092233405,0.017807071316329873,0.017276154768963655
trained,0,0,21,False,0.017737711692461744,0.0016122241231641965,0.016125487396493554,0.017992403416428715,0.01748301976476796
trained,0,0,22,False,0.01856772488099523,0.0014400734676200955,0.017127651546616107,0.018312860610744643,0.018807142577839622
trained,0,0,23,False,0.020320900453953072,0.0017223266181645158,0.01859857395174913,0.01978655284843766,0.020686506710358356
trained,0,0,24,False,0.020251282316166908,0.0018455760027791257,0.018405706417979673,0.02000791527744797,0.020487161181294
