model_type,pool_index,pool_cosine,layer,head,source_task,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention,same_count,different_count,num_prompts
trained,0,-0.5101710557937622,0,0,49,0,False,0.0039627013029530644,0.0006189972336869687,0.0033437041274737567,0.004083897432555323,0.003820963740601378,69,59,128
trained,0,-0.5101710557937622,0,0,49,1,False,0.00438111531548202,0.0009476167251705192,0.003433498670347035,0.004662930743018193,0.004071580291893639,67,61,128
trained,0,-0.5101710557937622,0,0,49,2,False,0.005151141551323235,0.0010857939341804013,0.004065347748110071,0.005275833120028819,0.005034006962721998,62,66,128
trained,0,-0.5101710557937622,0,0,49,3,False,0.005978297267574817,0.0014131635834928602,0.004565133596770465,0.006060323166385503,0.005876124656775542,71,57,128
trained,0,-0.5101710557937622,0,0,49,4,False,0.006651050527580082,0.0012616424573934637,0.005389407800976187,0.006180177589780406,0.007029075018117126,57,71,128
trained,0,-0.5101710557937622,0,0,49,5,False,0.007624430872965604,0.0013309777204995044,0.006293453101534396,0.0076838635575415485,0.007559152533773516,67,61,128
trained,0,-0.5101710557937622,0,0,49,6,False,0.007956133456900716,0.0011946877566515468,0.006761445780284703,0.00792441499652341,0.007987851975485682,64,64,128
trained,0,-0.5101710557937622,0,0,49,7,False,0.008787389961071312,0.001421905260940548,0.007365484838373959,0.008941314511877648,0.008612942695617676,68,60,128
trained,0,-0.5101710557937622,0,0,49,8,False,0.010211228393018246,0.0016761129518272355,0.008535115281119943,0.010392305525866423,0.010018468684246462,66,62,128
trained,0,-0.5101710557937622,0,0,49,9,False,0.010428527253679931,0.0014365727838594466,0.008991954266093671,0.01048910756737499,0.010376726587613424,59,69,128
trained,0,-0.5101710557937622,0,0,49,10,False,0.011257807724177837,0.0015601592604070902,0.009697648580186069,0.011464400492884495,0.01110705073822189,54,74,128
trained,0,-0.5101710557937622,0,0,49,11,False,0.011612225323915482,0.001650187412451487,0.00996203813701868,0.01149732152284202,0.011710476400195688,59,69,128
trained,0,-0.5101710557937622,0,0,49,12,False,0.013742092996835709,0.0021418877149699256,0.011600205209106207,0.013578077194406025,0.013922241745425052,67,61,128
trained,0,-0.5101710557937622,0,0,49,13,False,0.013984125340357423,0.0015092015528352931,0.012474923627451062,0.013866356806829572,0.014101893408223987,64,64,128
trained,0,-0.5101710557937622,0,0,49,14,False,0.015483024064451456,0.002800505346385762,0.012682518339715898,0.014677587963108505,0.016109474003314972,56,72,128
trained,0,-0.5101710557937622,0,0,49,15,False,0.015719172079116106,0.0024237160832853988,0.013295455602928996,0.017046074928908514,0.014619738182851246,58,70,128
trained,0,-0.5101710557937622,0,0,49,16,False,0.01592747773975134,0.002179587900172919,0.013747889432124794,0.015552968950942159,0.016301986877806485,64,64,128
trained,0,-0.5101710557937622,0,0,49,17,False,0.016503283055499196,0.0017828578129410744,0.014720425591804087,0.015989454527353418,0.016929027012416293,58,70,128
trained,0,-0.5101710557937622,0,0,49,18,False,0.017560738138854504,0.0023043352703098208,0.015256402431987226,0.017554447568696122,0.017565949474062238,58,70,128
trained,0,-0.5101710557937622,0,0,49,19,False,0.01857629814185202,0.0024721448935451917,0.016104153473861516,0.01816552592208609,0.018987071234732866,64,64,128
trained,0,-0.5101710557937622,0,0,49,20,False,0.018659480847418308,0.002469155195285566,0.01619032584130764,0.01847857708001838,0.018864506234725315,68,60,128
trained,0,-0.5101710557937622,0,0,49,21,False,0.019147388637065887,0.0021552010730374604,0.016992187476716936,0.018730753217823803,0.01956402405630797,64,64,128
trained,0,-0.5101710557937622,0,0,49,22,False,0.02063082088716328,0.0021876130194868892,0.018443207605741918,0.02003379538655281,0.021191661556561787,62,66,128
trained,0,-0.5101710557937622,0,0,49,23,False,0.022559893550351262,0.0024697304907022044,0.020090162754058838,0.021326222671912268,0.023403983563184738,52,76,128
trained,0,-0.5101710557937622,0,0,49,24,False,0.0222665355540812,0.0023013407771941274,0.01996519509702921,0.02205370342920697,0.022472818998190074,63,65,128
trained,0,-0.5101710557937622,0,0,49,25,False,0.021616657497361302,0.0026390495913801715,0.018977607134729624,0.021309333791335424,0.021887824377592874,60,68,128
trained,0,-0.5101710557937622,0,0,49,26,False,0.02347857691347599,0.002504887102986686,0.020973689621314406,0.02397628927576369,0.02289650728136806,69,59,128
trained,0,-0.5101710557937622,0,0,49,27,False,0.023744772421196103,0.0035722493194043636,0.02017252240329981,0.024459810767854962,0.022881794592429852,70,58,128
trained,0,-0.5101710557937622,0,0,49,28,False,0.023899577325209975,0.002450065891025588,0.021449511405080557,0.02440728388469795,0.02347890670810427,58,70,128
trained,0,-0.5101710557937622,0,0,49,29,False,0.022936565335839987,0.002514781546778977,0.020421783439815044,0.023494085460378414,0.022488978127358665,57,71,128
trained,0,-0.5101710557937622,0,0,49,30,False,0.02527194656431675,0.0020353435684228316,0.023236601846292615,0.024652819695143866,0.025784936334405626,58,70,128
trained,0,-0.5101710557937622,0,0,49,31,False,0.025493238121271133,0.003534066490828991,0.021959172328934073,0.026428651951608203,0.024586606942690336,63,65,128
trained,0,-0.5101710557937622,0,0,49,32,False,0.02328416518867016,0.0021552666003117338,0.021128898952156305,0.0225727882455377,0.02409039263923963,68,60,128
trained,0,-0.5101710557937622,0,0,49,33,False,0.026369172614067793,0.0032730923558119684,0.02309607993811369,0.02686343537490876,0.02591917230122125,61,67,128
trained,0,-0.5101710557937622,0,0,49,34,False,0.027829503873363137,0.003339630988193676,0.024489873088896275,0.02673086104914546,0.028928146930411458,64,64,128
trained,0,-0.5101710557937622,0,0,49,35,False,0.02559835254214704,0.003238362172851339,0.022359990514814854,0.025505399275006668,0.025697302914434863,66,62,128
trained,0,-0.5101710557937622,0,0,49,36,False,0.02683904184959829,0.0028393713000696152,0.023999670520424843,0.028397193494832742,0.02573794702688853,53,75,128
trained,0,-0.5101710557937622,0,0,49,37,False,0.027780508622527122,0.003026127305929549,0.024754381272941828,0.02987153022015681,0.025876741800735247,61,67,128
trained,0,-0.5101710557937622,0,0,49,38,False,0.02835990022867918,0.002790997808915563,0.02556890225969255,0.02852409757100619,0.028190490508836413,65,63,128
trained,0,-0.5101710557937622,0,0,49,39,False,0.028729437617585063,0.003667626529932022,0.025061811320483685,0.02891205893113063,0.028541018802022176,65,63,128
trained,0,-0.5101710557937622,0,0,49,40,False,0.027053455589339137,0.003395643929252401,0.023657811572775245,0.026745484807552435,0.027533888220787048,78,50,128
trained,0,-0.5101710557937622,0,0,49,41,False,0.027018823428079486,0.0026841369835892692,0.024334686575457454,0.026172593655720562,0.028072899370862728,71,57,128
trained,0,-0.5101710557937622,0,0,49,42,False,0.025978092569857836,0.00215875543653965,0.023819337133318186,0.025462709998680375,0.026418781366901123,59,69,128
trained,0,-0.5101710557937622,0,0,49,43,False,0.025684717344120145,0.003115194384008646,0.022569523192942142,0.02575855470936874,0.02562353823866163,58,70,128
trained,0,-0.5101710557937622,0,0,49,44,False,0.021749991457909346,0.0027512848027981818,0.018998707411810756,0.020388116594403982,0.023111868416890502,64,64,128
trained,0,-0.5101710557937622,0,0,49,45,False,0.02089970256201923,0.004154251189902425,0.01674545102287084,0.02159509408686842,0.020358842694097094,56,72,128
trained,0,-0.5101710557937622,0,0,49,46,False,0.02233728882856667,0.002725306185311638,0.019611982395872474,0.02282138642939654,0.02197255745326003,55,73,128
trained,0,-0.5101710557937622,0,0,49,47,False,0.02149208658374846,0.0031846203783061355,0.018307466758415103,0.021670597649755933,0.021319068395174466,63,65,128
trained,0,-0.5101710557937622,0,0,49,48,False,0.019466558704152703,0.0032054814510047436,0.016261076787486672,0.01915154728426862,0.01981255375459546,67,61,128
trained,0,-0.5101710557937622,0,0,49,49,True,0.08232549345120788,0.08232549345120788,0.0,,,0,0,128
trained,0,-0.5101710557937622,0,1,49,0,False,0.005419978231657296,0.00020073547239007894,0.005219242826569825,0.005780566537725753,0.004998273231973082,69,59,128
trained,0,-0.5101710557937622,0,1,49,1,False,0.003981045389082283,0.0003356655652169138,0.0036453799111768603,0.003982955506488459,0.0039789475134161655,67,61,128
