T,pool_index,layer,position,score,num_prompts
2,2,0,10,-0.011599736288189888,128
2,2,0,20,-0.02814844250679016,128
2,2,0,30,-0.0858914852142334,128
2,2,0,40,-0.04865457862615585,128
2,2,0,49,0.03507111594080925,128
2,2,1,5,-0.099946029484272,128
2,2,1,10,-0.004145491402596235,128
2,2,1,20,0.16525506973266602,128
2,2,1,30,-0.022437632083892822,128
2,2,1,40,0.11883456259965897,128
2,2,1,49,0.1590108424425125,128
2,2,2,5,-0.15544255077838898,128
2,2,2,10,-0.05406314134597778,128
2,2,2,20,0.258696049451828,128
2,2,2,30,0.09149893373250961,128
2,2,2,40,0.29412034153938293,128
2,2,2,49,0.21599631011486053,128
2,2,3,5,0.4402084946632385,128
2,2,3,10,0.43422189354896545,128
2,2,3,20,0.5859506130218506,128
2,2,3,30,0.5454592108726501,128
2,2,3,40,0.6146693825721741,128
2,2,3,49,0.6157470345497131,128
2,2,4,5,0.4705410599708557,128
2,2,4,10,0.516653835773468,128
2,2,4,20,0.651409924030304,128
2,2,4,30,0.6818537712097168,128
2,2,4,40,0.7132703065872192,128
2,2,4,49,0.7114024758338928,128
2,2,5,5,0.44524258375167847,128
2,2,5,10,0.5333558917045593,128
2,2,5,20,0.7452542781829834,128
2,2,5,30,0.7814829349517822,128
2,2,5,40,0.8054104447364807,128
2,2,5,49,0.7776951789855957,128
2,2,6,5,0.3918476402759552,128
2,2,6,10,0.4547291398048401,128
2,2,6,20,0.6958802938461304,128
2,2,6,30,0.733573317527771,128
2,2,6,40,0.7742396593093872,128
2,2,6,49,0.7481982111930847,128
2,3,0,5,-0.05473899096250534,128
2,3,0,10,7.348798681050539e-05,128
2,3,0,20,-0.0733511820435524,128
2,3,0,30,-0.07914169132709503,128
2,3,0,40,-0.03896816447377205,128
2,3,0,49,-0.06135016307234764,128
2,3,1,5,0.2688693404197693,128
2,3,1,10,0.16406755149364471,128
2,3,1,20,0.267002135515213,128
2,3,1,30,0.33040547370910645,128
2,3,1,40,0.28538778424263,128
2,3,1,49,0.2193523794412613,128
2,3,2,5,0.20008423924446106,128
2,3,2,10,0.2082832157611847,128
2,3,2,20,0.3571154773235321,128
2,3,2,30,0.30684566497802734,128
2,3,2,40,0.32928788661956787,128
2,3,2,49,0.24937382340431213,128
2,3,3,5,0.6319947838783264,128
2,3,3,10,0.6815260052680969,128
2,3,3,20,0.7023033499717712,128
2,3,3,30,0.7059526443481445,128
2,3,3,40,0.7404960989952087,128
2,3,3,49,0.634300947189331,128
2,3,4,5,0.7507947087287903,128
2,3,4,10,0.747969388961792,128
2,3,4,20,0.7777498364448547,128
2,3,4,30,0.8029171824455261,128
2,3,4,40,0.821506917476654,128
2,3,4,49,0.7962236404418945,128
2,3,5,5,0.8356826305389404,128
2,3,5,10,0.8935708403587341,128
2,3,5,20,0.8735033273696899,128
2,3,5,30,0.9100126028060913,128
2,3,5,40,0.9180858135223389,128
2,3,5,49,0.9224457144737244,128
2,3,6,5,0.780353307723999,128
2,3,6,10,0.8363392949104309,128
2,3,6,20,0.8499189019203186,128
2,3,6,30,0.8945509791374207,128
2,3,6,40,0.8975285291671753,128
2,3,6,49,0.8803907036781311,128
2,4,0,5,-0.05495007708668709,128
2,4,0,10,-0.03225281089544296,128
2,4,0,20,-0.047493286430835724,128
2,4,0,30,-0.03179058060050011,128
2,4,0,40,-0.057586055248975754,128
2,4,0,49,-0.04622505232691765,128
2,4,1,5,0.24265947937965393,128
2,4,1,10,0.27290260791778564,128
2,4,1,20,0.26344919204711914,128
2,4,1,30,0.31826844811439514,128
2,4,1,40,0.370235413312912,128
2,4,1,49,0.24040775001049042,128
2,4,2,5,0.26418185234069824,128
2,4,2,10,0.32984232902526855,128
2,4,2,20,0.3306843340396881,128
2,4,2,30,0.4370560348033905,128
2,4,2,40,0.47539302706718445,128
2,4,2,49,0.4189142882823944,128
2,4,3,5,0.6233227849006653,128
2,4,3,10,0.5604636073112488,128
2,4,3,20,0.6067493557929993,128
2,4,3,30,0.6799028515815735,128
2,4,3,40,0.7095628380775452,128
2,4,3,49,0.6862661242485046,128
2,4,4,5,0.65121990442276,128
2,4,4,10,0.7162563800811768,128
2,4,4,20,0.7005073428153992,128
2,4,4,30,0.7802830934524536,128
2,4,4,40,0.8237331509590149,128
2,4,4,49,0.7942926287651062,128
2,4,5,5,0.7593775391578674,128
2,4,5,10,0.865700364112854,128
2,4,5,20,0.8369173407554626,128
2,4,5,30,0.8557851314544678,128
2,4,5,40,0.8813782930374146,128
2,4,5,49,0.8749334812164307,128
2,4,6,5,0.7037212252616882,128
2,4,6,10,0.8007283806800842,128
2,4,6,20,0.7997980117797852,128
2,4,6,30,0.8407083749771118,128
2,4,6,40,0.8677733540534973,128
2,4,6,49,0.8777165412902832,128
2,5,0,5,0.0020954320207238197,128
2,5,0,10,-0.0603187270462513,128
2,5,0,20,-0.02417895756661892,128
2,5,0,30,-0.014990868978202343,128
2,5,0,40,0.037005554884672165,128
2,5,0,49,-0.11215172708034515,128
2,5,1,5,-0.0583302266895771,128
2,5,1,10,0.025560183450579643,128
2,5,1,20,0.028834067285060883,128
2,5,1,30,0.037922490388154984,128
2,5,1,40,0.10554458945989609,128
2,5,1,49,-0.010866247117519379,128
2,5,2,5,-0.21960708498954773,128
2,5,2,10,0.11611361056566238,128
2,5,2,20,0.06525996327400208,128
2,5,2,30,0.06206253170967102,128
2,5,2,40,0.20757165551185608,128
2,5,2,49,0.047589678317308426,128
2,5,3,5,0.4683188796043396,128
2,5,3,10,0.4613242447376251,128
2,5,3,20,0.543497622013092,128
2,5,3,30,0.5914854407310486,128
2,5,3,40,0.5706372261047363,128
2,5,3,49,0.5754836797714233,128
2,5,4,5,0.5257087349891663,128
2,5,4,10,0.5500434041023254,128
2,5,4,20,0.6098564267158508,128
2,5,4,30,0.658806562423706,128
2,5,4,40,0.6863461136817932,128
2,5,4,49,0.7371264696121216,128
2,5,5,5,0.5488196015357971,128
2,5,5,10,0.5799111127853394,128
2,5,5,20,0.683613657951355,128
2,5,5,30,0.6956148147583008,128
2,5,5,40,0.7925587892532349,128
2,5,5,49,0.8714070916175842,128
2,5,6,5,0.4719018042087555,128
2,5,6,10,0.5027226209640503,128
2,5,6,20,0.6848491430282593,128
2,5,6,30,0.6608623266220093,128
2,5,6,40,0.8123495578765869,128
2,5,6,49,0.8186960220336914,128
2,6,0,5,-0.027143776416778564,128
2,6,0,10,-0.044873978942632675,128
2,6,0,20,-0.04258478432893753,128
2,6,0,30,-0.05075087398290634,128
2,6,0,40,-0.018250053748488426,128
2,6,0,49,-0.014348084107041359,128
2,6,1,5,0.24943949282169342,128
2,6,1,10,0.3131200075149536,128
2,6,1,20,0.2657150626182556,128
2,6,1,30,0.2854296863079071,128
2,6,1,40,0.32591840624809265,128
2,6,1,49,0.4116290509700775,128
2,6,2,5,0.38680896162986755,128
2,6,2,10,0.3447214663028717,128
2,6,2,20,0.41159212589263916,128
2,6,2,30,0.3658299446105957,128
2,6,2,40,0.4033966660499573,128
2,6,2,49,0.39705905318260193,128
2,6,3,5,0.6907059550285339,128
2,6,3,10,0.6801347732543945,128
2,6,3,20,0.6893110275268555,128
2,6,3,30,0.6996428966522217,128
2,6,3,40,0.7217355966567993,128
2,6,3,49,0.7669296264648438,128
2,6,4,5,0.7110609412193298,128
2,6,4,10,0.7973431944847107,128
2,6,4,20,0.7439320087432861,128
2,6,4,30,0.811592698097229,128
2,6,4,40,0.7958697080612183,128
2,6,4,49,0.8756614923477173,128
2,6,5,5,0.8067911863327026,128
2,6,5,10,0.8898392915725708,128
2,6,5,20,0.8766063451766968,128
2,6,5,30,0.9152093529701233,128
2,6,5,40,0.916922390460968,128
