T,K,N,d,noise_std,method,position,mean_mse,stderr,ci95_low,ci95_high,num_pools
2,2,50,4,0.0,em_ridge,1,0.8121129632905406,0.03227189170393277,0.7391088723154411,0.8851170542656401,10
2,2,50,4,0.0,em_ridge,2,0.652684480969051,0.03885496870335281,0.5647884352064614,0.7405805267316405,10
2,2,50,4,0.0,em_ridge,3,0.4904858721767408,0.05664224236854407,0.36235221788578686,0.6186195264676947,10
2,2,50,4,0.0,em_ridge,4,0.39926764415856014,0.05110759406153341,0.28365423417887936,0.5148810541382409,10
2,2,50,4,0.0,em_ridge,5,0.2336256227063064,0.030604189146357742,0.16439413701724215,0.30285710839537067,10
2,2,50,4,0.0,em_ridge,6,0.15112166284888717,0.020481207570610734,0.10478995244027328,0.19745337325750106,10
2,2,50,4,0.0,em_ridge,7,0.08044131450515268,0.014452575093923458,0.047747318235554795,0.11313531077475057,10
2,2,50,4,0.0,em_ridge,8,0.054029089963035,0.012697930760987634,0.025304374939351164,0.08275380498671883,10
2,2,50,4,0.0,em_ridge,9,0.02631597239450706,0.00537190450541869,0.01416388013970622,0.038468064649307895,10
2,2,50,4,0.0,em_ridge,10,0.011267620099591525,0.0029285569243730023,0.004642764076458857,0.017892476122724193,10
2,2,50,4,0.0,em_ridge,11,0.01773997853935331,0.006797957698269247,0.002361929839814333,0.03311802723889228,10
2,2,50,4,0.0,em_ridge,12,0.008757623185963492,0.004071469191940083,0.0,0.01796792638162297,10
2,2,50,4,0.0,em_ridge,13,0.0034273467865874956,0.0016187355668104714,0.0,0.007089181043724016,10
2,2,50,4,0.0,em_ridge,14,0.0014434996401797256,0.0007571106568491971,0.0,0.0031562029356019903,10
2,2,50,4,0.0,em_ridge,15,0.0037205960438702586,0.0019867984266437365,0.0,0.00821504633573859,10
2,2,50,4,0.0,em_ridge,16,0.0007230905642796589,0.0004084235049675098,0.0,0.0016470087214970593,10
2,2,50,4,0.0,em_ridge,17,0.00011388826576315139,8.627944125177961e-05,0.0,0.00030906592179309153,10
2,2,50,4,0.0,em_ridge,18,0.0003787967538604186,0.00035850710793017764,0.0,0.001189796175978739,10
2,2,50,4,0.0,em_ridge,19,0.00013197282684381233,0.0001306950944350941,0.0,0.0004276256708627483,10
2,2,50,4,0.0,em_ridge,20,0.0004426949744712109,0.00041311698548329604,0.0,0.001377230522255851,10
2,2,50,4,0.0,em_ridge,21,0.0004915507055523452,0.0003229273546835393,0.0,0.00122206313401319,10
