run_name,run_id,run_dir,checkpoint,train_step,T,K,N,d,D,noise_std,config_valid,checkpoint_readable,error,condition
T4_K2_N50_noisy,8cb52a68-988d-4c74-a4b1-74d33e96c5e6,T4_K2_N50_noisy/8cb52a68-988d-4c74-a4b1-74d33e96c5e6,T4_K2_N50_noisy/8cb52a68-988d-4c74-a4b1-74d33e96c5e6/state.pt,20000,4,2,50,4,24,0.2,True,True,,T4_K2_N50_noisy
T4_K2_N50_noisy_500k,960fc160-3d2a-48e7-b609-a2a82134760d,T4_K2_N50_noisy_500k/960fc160-3d2a-48e7-b609-a2a82134760d,T4_K2_N50_noisy_500k/960fc160-3d2a-48e7-b609-a2a82134760d/state.pt,500000,4,2,50,4,24,0.2,True,True,,T4_K2_N50_noisy
T4_K3_N50_noiseless,d5b052a6-fdca-4336-b80a-ef6994e50d7f,T4_K3_N50_noiseless/d5b052a6-fdca-4336-b80a-ef6994e50d7f,T4_K3_N50_noiseless/d5b052a6-fdca-4336-b80a-ef6994e50d7f/state.pt,20000,4,3,50,4,24,0.0,True,True,,T4_K3_N50_noiseless
T4_K3_N50_noiseless_500k,5ee5e69b-8435-41a3-a8ed-15b515ec7588,T4_K3_N50_noiseless_500k/5ee5e69b-8435-41a3-a8ed-15b515ec7588,T4_K3_N50_noiseless_500k/5ee5e69b-8435-41a3-a8ed-15b515ec7588/state.pt,500000,4,3,50,4,24,0.0,True,True,,T4_K3_N50_noiseless
T4_K3_N50_noisy,f59249b4-5734-4938-97e6-50ba1d5c7e99,T4_K3_N50_noisy/f59249b4-5734-4938-97e6-50ba1d5c7e99,T4_K3_N50_noisy/f59249b4-5734-4938-97e6-50ba1d5c7e99/state.pt,20000,4,3,50,4,24,0.2,True,True,,T4_K3_N50_noisy
T4_K3_N50_noisy_500k,45bb16f8-3a70-4a81-bc1e-6a937a9ecba0,T4_K3_N50_noisy_500k/45bb16f8-3a70-4a81-bc1e-6a937a9ecba0,T4_K3_N50_noisy_500k/45bb16f8-3a70-4a81-bc1e-6a937a9ecba0/state.pt,500000,4,3,50,4,24,0.2,True,True,,T4_K3_N50_noisy
T5_K2_N50,2e3a4115-f358-4a00-a5ae-c5245fb45dfa,T5_K2_N50/2e3a4115-f358-4a00-a5ae-c5245fb45dfa,T5_K2_N50/2e3a4115-f358-4a00-a5ae-c5245fb45dfa/state.pt,20000,5,2,50,4,29,0.0,True,True,,T5_K2_N50_noiseless
T5_K2_N50_noiseless_500k,a853123c-050c-4381-99dc-b62b1f14ca70,T5_K2_N50_noiseless_500k/a853123c-050c-4381-99dc-b62b1f14ca70,T5_K2_N50_noiseless_500k/a853123c-050c-4381-99dc-b62b1f14ca70/state.pt,421086,5,2,50,4,29,0.0,True,True,,T5_K2_N50_noiseless
T5_K2_N50_noisy,c9c9a415-0dda-48c6-9294-4e75348d24a1,T5_K2_N50_noisy/c9c9a415-0dda-48c6-9294-4e75348d24a1,T5_K2_N50_noisy/c9c9a415-0dda-48c6-9294-4e75348d24a1/state.pt,20000,5,2,50,4,29,0.2,True,True,,T5_K2_N50_noisy
T5_K2_N50_noisy_500k,ad58ca77-6a59-4511-b354-f4a6114800c4,T5_K2_N50_noisy_500k/ad58ca77-6a59-4511-b354-f4a6114800c4,T5_K2_N50_noisy_500k/ad58ca77-6a59-4511-b354-f4a6114800c4/state.pt,500000,5,2,50,4,29,0.2,True,True,,T5_K2_N50_noisy
T5_K2_N50_noisy_50k,c492ac4a-8a4f-4ec0-89bd-803f7e62aaa3,T5_K2_N50_noisy_50k/c492ac4a-8a4f-4ec0-89bd-803f7e62aaa3,T5_K2_N50_noisy_50k/c492ac4a-8a4f-4ec0-89bd-803f7e62aaa3/state.pt,50000,5,2,50,4,29,0.2,True,True,,T5_K2_N50_noisy
T5_K3_N50_noiseless,ce9c11b8-caa2-480b-ac02-055581868aa3,T5_K3_N50_noiseless/ce9c11b8-caa2-480b-ac02-055581868aa3,T5_K3_N50_noiseless/ce9c11b8-caa2-480b-ac02-055581868aa3/state.pt,20000,5,3,50,4,29,0.0,True,True,,T5_K3_N50_noiseless
T5_K3_N50_noiseless_500k,2fd5054f-db81-4d29-9004-d86677d72587,T5_K3_N50_noiseless_500k/2fd5054f-db81-4d29-9004-d86677d72587,T5_K3_N50_noiseless_500k/2fd5054f-db81-4d29-9004-d86677d72587/state.pt,381611,5,3,50,4,29,0.0,True,True,,T5_K3_N50_noiseless
T5_K3_N50_noisy,98e76b48-9a06-445f-a503-4876b2dc1403,T5_K3_N50_noisy/98e76b48-9a06-445f-a503-4876b2dc1403,T5_K3_N50_noisy/98e76b48-9a06-445f-a503-4876b2dc1403/state.pt,20000,5,3,50,4,29,0.2,True,True,,T5_K3_N50_noisy
T5_K3_N50_noisy_500k,62d3ef10-88de-41a5-a11b-2e1c18b1edfc,T5_K3_N50_noisy_500k/62d3ef10-88de-41a5-a11b-2e1c18b1edfc,T5_K3_N50_noisy_500k/62d3ef10-88de-41a5-a11b-2e1c18b1edfc/state.pt,361887,5,3,50,4,29,0.2,True,True,,T5_K3_N50_noisy
