T,K,N,d,noise_std,method,position_start,position_end,mean_mse,stderr,ci95_low,ci95_high,num_pools
2,3,50,4,0.2,ridge_current,40,49,0.6209331654651238,0.004286191213222434,0.6125322306872079,0.6293341002430397,10
2,3,50,4,0.2,ridge_history,40,49,0.684798994502853,0.056616112722616754,0.5738314135665241,0.7957665754391818,10
2,3,50,4,0.2,transformer,40,49,0.17642304732584452,0.00687181628223055,0.16295428741267265,0.18989180723901639,10
3,2,50,4,0.0,em_ridge,40,49,3.148974150504411e-08,4.082222688655463e-10,3.068962585806764e-08,3.228985715202058e-08,10
3,2,50,4,0.0,known_pool,40,49,2.3143629351406605e-15,8.454829681904417e-17,2.148648273375334e-15,2.480077596905987e-15,10
3,2,50,4,0.0,ridge_current,40,49,0.4069929691878051,0.005932987019497899,0.3953643146295892,0.41862162374602097,10
3,2,50,4,0.0,ridge_history,40,49,0.43607936809166603,0.08329067434774408,0.27282964637008766,0.5993290898132444,10
3,2,50,4,0.0,transformer,40,49,0.004416594802281716,0.000310482080143456,0.0038080499252005425,0.00502513967936289,10
3,2,50,4,0.2,em_ridge,40,49,0.049842653255595434,0.0013989577598278553,0.04710069604633284,0.05258461046485803,10
3,2,50,4,0.2,known_pool,40,49,0.046929014101090495,0.0013586522313348015,0.04426605572767429,0.0495919724745067,10
3,2,50,4,0.2,ridge_current,40,49,0.4567084381271195,0.007758444275362302,0.44150188734740936,0.4719149889068296,10
3,2,50,4,0.2,ridge_history,40,49,0.5873939981409922,0.10611619688589347,0.3794062522446411,0.7953817440373434,10
3,2,50,4,0.2,transformer,40,49,0.05704335355457859,0.0012738156110359909,0.054546674956948045,0.059540032152209134,10
3,3,50,4,0.0,em_ridge,40,49,5.9707230243991634e-05,5.961334077601049e-05,0.0,0.0001765493781649722,10
3,3,50,4,0.0,known_pool,40,49,2.2501294479756124e-15,6.255116087632242e-17,2.1275291726580205e-15,2.3727297232932042e-15,10
3,3,50,4,0.0,ridge_current,40,49,0.3963387659079251,0.0032049147459471444,0.3900571330058687,0.4026203988099815,10
