T,layer,same_attention,different_attention,same_to_different_ratio,selectivity,num_pools
2,0,0.020010752230882646,0.020085570774972437,0.9962750103082448,-0.0018659702057683936,10
2,1,0.020161463879048824,0.01976866777986288,1.0198696292314682,0.009837084999900816,10
2,2,0.02001248672604561,0.020066074468195437,0.9973294356983093,-0.0013370675132302052,10
2,3,0.02388972360640764,0.015302885230630637,1.5611254509436805,0.21909330944211516,10
2,4,0.020419409871101378,0.019551943987607956,1.044367244711995,0.02170218918677958,10
2,5,0.020600210689008237,0.01984812393784523,1.0378920825725484,0.01859376308323208,10
3,0,0.017850286886096002,0.01752329580485821,1.0186603641734528,0.009243934494693172,10
3,1,0.019713254645466805,0.0173954701051116,1.13324069578747,0.06245928837312251,10
3,2,0.014020363986492156,0.014862511586397887,0.9433374638593075,-0.02915733226701931,10
3,3,0.02175825126469135,0.017540157958865165,1.2404820592675605,0.1073349631490363,10
3,4,0.023238507471978663,0.01684682797640562,1.3793995821958138,0.1594518150859249,10
3,5,0.029705624841153622,0.010252798162400722,2.897318797329954,0.4868266867544435,10
4,0,0.016623665019869803,0.01592257944867015,1.044030904255165,0.021541212592971877,10
4,1,0.016400970332324506,0.016333470493555068,1.0041326084861188,0.002062043433962469,10
4,2,0.014447704050689935,0.01408684067428112,1.0256170552895978,0.012646544035903873,10
4,3,0.026971669308841227,0.012571097258478403,2.145530239267742,0.3641771504744503,10
4,4,0.021622088551521302,0.018543274514377116,1.166033999807159,0.07665345965111392,10
4,5,0.021890627779066564,0.018364313803613187,1.1920199149918453,0.08759953031382917,10
5,0,0.01678737476468086,0.016527670808136462,1.0157132822621653,0.007795395506116281,10
5,1,0.019060301780700683,0.018444903567433356,1.0333641328629055,0.016408341390349017,10
5,2,0.023242937028408052,0.016267654951661825,1.4287822736265785,0.1765420796596703,10
5,3,0.031087368540465832,0.008471410814672708,3.6696802009202156,0.5717051459742627,10
5,4,0.03424858078360558,0.005396468169055879,6.346480644505945,0.7277608018343181,10
5,5,0.027761950716376306,0.012236180156469345,2.268841285545995,0.3881624021198265,10
