T,layer,key_task,attention,is_self,num_prompts,pool_index
2,0,0,0.02933264710009098,False,128,0
2,0,1,0.02440129965543747,False,128,0
2,0,2,0.02397853508591652,False,128,0
2,0,3,0.022005245089530945,False,128,0
2,0,4,0.02110736072063446,False,128,0
2,0,5,0.021021373569965363,False,128,0
2,0,6,0.020357636734843254,False,128,0
2,0,7,0.019962068647146225,False,128,0
2,0,8,0.019678115844726562,False,128,0
2,0,9,0.020040882751345634,False,128,0
2,0,10,0.020391451194882393,False,128,0
2,0,11,0.0192637387663126,False,128,0
2,0,12,0.019020013511180878,False,128,0
2,0,13,0.0200152900069952,False,128,0
2,0,14,0.019355852156877518,False,128,0
2,0,15,0.019490234553813934,False,128,0
2,0,16,0.019958071410655975,False,128,0
2,0,17,0.019555091857910156,False,128,0
2,0,18,0.019282784312963486,False,128,0
2,0,19,0.019147733226418495,False,128,0
2,0,20,0.019373048096895218,False,128,0
2,0,21,0.01978723518550396,False,128,0
2,0,22,0.01994081772863865,False,128,0
2,0,23,0.01922708936035633,False,128,0
2,0,24,0.01915513351559639,False,128,0
2,0,25,0.01961681619286537,False,128,0
2,0,26,0.019402429461479187,False,128,0
2,0,27,0.019016152247786522,False,128,0
2,0,28,0.019813023507595062,False,128,0
2,0,29,0.020077908411622047,False,128,0
2,0,30,0.01972294971346855,False,128,0
2,0,31,0.01885860785841942,False,128,0
2,0,32,0.019167624413967133,False,128,0
2,0,33,0.01918279007077217,False,128,0
2,0,34,0.018427018076181412,False,128,0
2,0,35,0.019335564225912094,False,128,0
2,0,36,0.01973968744277954,False,128,0
2,0,37,0.01907261088490486,False,128,0
2,0,38,0.019333966076374054,False,128,0
2,0,39,0.019879283383488655,False,128,0
2,0,40,0.019097480922937393,False,128,0
2,0,41,0.019966136664152145,False,128,0
2,0,42,0.01945333555340767,False,128,0
2,0,43,0.019807498902082443,False,128,0
2,0,44,0.019267329946160316,False,128,0
2,0,45,0.019342195242643356,False,128,0
2,0,46,0.0188604723662138,False,128,0
2,0,47,0.018997421488165855,False,128,0
2,0,48,0.02189413085579872,False,128,0
2,0,49,0.017818810418248177,True,128,0
2,1,0,0.03771092742681503,False,128,0
2,1,1,0.01959254778921604,False,128,0
2,1,2,0.018563508987426758,False,128,0
2,1,3,0.018276413902640343,False,128,0
