T,layer,same_attention,different_attention,same_to_different_ratio,selectivity,same_task_observations,different_task_observations,num_prompts,pool_index
2,4,0.020353997126221657,0.019493799656629562,1.0441267215598757,0.021587077305169518,12588,12500,128,4
2,5,0.0197598896920681,0.020675767213106155,0.9557028519620065,-0.02265024463893048,12588,12500,128,4
2,0,0.020052742213010788,0.02001217007637024,1.0020273731677134,0.0010126600639358474,12456,12632,128,5
2,1,0.020075706765055656,0.019861707463860512,1.0107744664744724,0.005358366467306269,12456,12632,128,5
2,2,0.019900808110833168,0.02019999921321869,0.9851885587109462,-0.007460974537688937,12456,12632,128,5
2,3,0.022795623168349266,0.016313541680574417,1.397343606599754,0.16574328582097658,12456,12632,128,5
2,4,0.019631097093224525,0.02025430090725422,0.9692310380455299,-0.015624861359593636,12456,12632,128,5
2,5,0.02050977200269699,0.019936900585889816,1.0287342264831585,0.014163622867924785,12456,12632,128,5
2,0,0.019889220595359802,0.020147232338786125,0.9871936879920913,-0.006444420634633,12616,12472,128,6
2,1,0.020309308543801308,0.019593222066760063,1.0365476629929125,0.017945891302736355,12616,12472,128,6
2,2,0.019823221489787102,0.020233504474163055,0.9797225940320986,-0.010242549147556292,12616,12472,128,6
2,3,0.02516314387321472,0.013927371241152287,1.8067403702762819,0.2874296386013325,12616,12472,128,6
2,4,0.01998113840818405,0.020055176690220833,0.9963082707681711,-0.0018492781329850988,12616,12472,128,6
2,5,0.020759323611855507,0.019671835005283356,1.0552815030361977,0.026897290203085157,12616,12472,128,6
2,0,0.020067371428012848,0.02008238062262535,0.9992526187559859,-0.0003738303188914581,12492,12596,128,7
2,1,0.020136959850788116,0.019827168434858322,1.0156245919303912,0.0077517371007203816,12492,12596,128,7
2,2,0.02012358233332634,0.01997031457722187,1.0076747792585745,0.003822720361815128,12492,12596,128,7
2,3,0.02284253016114235,0.016411881893873215,1.3918288170029902,0.16381975759200007,12492,12596,128,7
2,4,0.02041233517229557,0.019599461928009987,1.041474263286988,0.020315839407257612,12492,12596,128,7
2,5,0.020153455436229706,0.020251436159014702,0.9951617889212573,-0.0024249718020906215,12492,12596,128,7
2,0,0.020049545913934708,0.020051222294569016,0.9999163950900508,-4.1804202492868205e-05,12724,12364,128,8
2,1,0.020047908648848534,0.019863774999976158,1.0092698215154268,0.00461352746961347,12724,12364,128,8
2,2,0.020036138594150543,0.0200467761605978,0.9994693627363304,-0.000265389044493024,12724,12364,128,8
2,3,0.022747687995433807,0.016340823844075203,1.392077181205376,0.16390657637886377,12724,12364,128,8
2,4,0.020491164177656174,0.019467178732156754,1.0526006084183095,0.025626324089829833,12724,12364,128,8
2,5,0.020679818466305733,0.01975342445075512,1.0468978944820477,0.022911692179894885,12724,12364,128,8
2,0,0.020075812935829163,0.020035669207572937,1.0020036130483254,0.0010008039122740018,12620,12468,128,9
2,1,0.020141420885920525,0.019783111289143562,1.018111893096087,0.008974672394552288,12620,12468,128,9
2,2,0.019943807274103165,0.020149070769548416,0.9898127562410735,-0.0051196996938401,12620,12468,128,9
2,3,0.022999290376901627,0.016082938760519028,1.430042775102838,0.17696922025771286,12620,12468,128,9
2,4,0.020726941525936127,0.01914948970079422,1.0823756585574436,0.039558500513067335,12620,12468,128,9
2,5,0.020647363737225533,0.019811689853668213,1.042180848263309,0.020654805522821413,12620,12468,128,9
3,0,0.017513053491711617,0.01734468713402748,1.009707085309935,0.004830099560721759,12280,12808,128,0
3,1,0.020481735467910767,0.016524173319339752,1.2395013700285458,0.10694406050999336,12280,12808,128,0
3,2,0.013678018003702164,0.014982052147388458,0.9129602453083436,-0.04550003321037479,12280,12808,128,0
3,3,0.022731414064764977,0.016659211367368698,1.364495207095471,0.15415349796509603,12280,12808,128,0
3,4,0.02420240081846714,0.01603992097079754,1.5088852908022616,0.20283322345101573,12280,12808,128,0
3,5,0.03166835382580757,0.008640380576252937,3.6651572863404063,0.5712899100195388,12280,12808,128,0
3,0,0.01791646145284176,0.01738797314465046,1.0303938994956345,0.014969459622186942,12716,12372,128,1
3,1,0.02062179520726204,0.0161319337785244,1.2783213401678328,0.12216070457705065,12716,12372,128,1
3,2,0.014166828244924545,0.014965901151299477,0.9466070971405856,-0.027428700397653147,12716,12372,128,1
3,3,0.02250773087143898,0.016561618074774742,1.359029701676363,0.15219380299503266,12716,12372,128,1
3,4,0.02446550503373146,0.015511078760027885,1.5772922961863343,0.22399178278713827,12716,12372,128,1
3,5,0.03068588301539421,0.008919774554669857,3.4402083625901656,0.5495706875266292,12716,12372,128,1
3,0,0.01788780279457569,0.01743891090154648,1.0257408215205346,0.012706868147729462,12452,12636,128,2
3,1,0.020366663113236427,0.017026685178279877,1.1961613725739875,0.08932010872410469,12452,12636,128,2
3,2,0.013872000388801098,0.01475678849965334,0.9400419602901385,-0.030905537579658613,12452,12636,128,2
3,3,0.02279834635555744,0.01644802838563919,1.3860838406299643,0.1618064856128576,12452,12636,128,2
3,4,0.024230243638157845,0.01586194895207882,1.5275703957540667,0.2087262917148834,12452,12636,128,2
