model_type,layer,position,metric,control,mean,stderr,ci95_low,ci95_high,num_pools
raw_input,-1,5,beta_r2,actual,-0.03373399747069925,0.012007908142810822,-0.060897772886181645,-0.006570222055216863,10
raw_input,-1,5,beta_r2,shuffled,-0.05242056818678975,0.007013945741483391,-0.06828721578536437,-0.03655392058821513,10
raw_input,-1,5,component_accuracy,actual,0.51328125,0.014825463882802377,0.4797437206857125,0.5468187793142875,10
raw_input,-1,5,component_accuracy,shuffled,0.5015625,0.018590175309973693,0.4595086017648687,0.5436163982351313,10
raw_input,-1,10,beta_r2,actual,-0.04032085351645946,0.010711900887104065,-0.06455285683540637,-0.016088850197512557,10
raw_input,-1,10,beta_r2,shuffled,-0.053223155252635476,0.005344786993067571,-0.06531390343263396,-0.04113240707263699,10
raw_input,-1,10,component_accuracy,actual,0.50078125,0.018795156849756387,0.4582636513064078,0.5432988486935921,10
raw_input,-1,10,component_accuracy,shuffled,0.4734375,0.015148999554426027,0.4391680821487284,0.5077069178512716,10
raw_input,-1,20,beta_r2,actual,-0.04157663900405169,0.00839751036376835,-0.060573127223122414,-0.02258015078498096,10
raw_input,-1,20,beta_r2,shuffled,-0.048283413518220186,0.011178440643623189,-0.07357080308910696,-0.022996023947333414,10
raw_input,-1,20,component_accuracy,actual,0.51015625,0.008402221773386292,0.4911491038319151,0.5291633961680848,10
raw_input,-1,20,component_accuracy,shuffled,0.521875,0.018699294865641918,0.47957425618041244,0.5641757438195876,10
raw_input,-1,30,beta_r2,actual,-0.05840671891346574,0.013715179693075568,-0.08943261089522112,-0.027380826931710355,10
raw_input,-1,30,beta_r2,shuffled,-0.05002705811712076,0.011208412461706502,-0.07538224865096678,-0.024671867583274734,10
raw_input,-1,30,component_accuracy,actual,0.5,0.009882117688026186,0.4776450966884167,0.5223549033115833,10
raw_input,-1,30,component_accuracy,shuffled,0.4953125,0.013740527039867624,0.46422926833614103,0.526395731663859,10
raw_input,-1,40,beta_r2,actual,-0.06596638914197683,0.01147538038407035,-0.09192550307363559,-0.04000727521031808,10
raw_input,-1,40,beta_r2,shuffled,-0.055152089521288875,0.009367323324417887,-0.07634244707586749,-0.03396173196671026,10
