model_type,pool_index,layer,position,metric,control,score,num_prompts
trained,2,6,20,component_accuracy,shuffled,0.5625,128
trained,2,6,30,beta_r2,actual,0.7774530053138733,128
trained,2,6,30,beta_r2,shuffled,-0.5379091501235962,128
trained,2,6,30,component_accuracy,actual,0.9609375,128
trained,2,6,30,component_accuracy,shuffled,0.5234375,128
trained,2,6,40,beta_r2,actual,0.824683666229248,128
trained,2,6,40,beta_r2,shuffled,-0.3621440529823303,128
trained,2,6,40,component_accuracy,actual,0.9765625,128
trained,2,6,40,component_accuracy,shuffled,0.4765625,128
trained,2,6,49,beta_r2,actual,0.8046152591705322,128
trained,2,6,49,beta_r2,shuffled,-0.01990586705505848,128
trained,2,6,49,component_accuracy,actual,0.984375,128
trained,2,6,49,component_accuracy,shuffled,0.53125,128
raw_input,2,-1,5,beta_r2,actual,-0.030029835179448128,128
raw_input,2,-1,5,beta_r2,shuffled,-0.08709299564361572,128
raw_input,2,-1,5,component_accuracy,actual,0.5234375,128
raw_input,2,-1,5,component_accuracy,shuffled,0.53125,128
raw_input,2,-1,10,beta_r2,actual,-0.06812877207994461,128
raw_input,2,-1,10,beta_r2,shuffled,-0.03497249260544777,128
raw_input,2,-1,10,component_accuracy,actual,0.453125,128
raw_input,2,-1,10,component_accuracy,shuffled,0.4921875,128
raw_input,2,-1,20,beta_r2,actual,-0.06675808131694794,128
raw_input,2,-1,20,beta_r2,shuffled,-0.10799047350883484,128
raw_input,2,-1,20,component_accuracy,actual,0.5234375,128
raw_input,2,-1,20,component_accuracy,shuffled,0.546875,128
raw_input,2,-1,30,beta_r2,actual,-0.08808291703462601,128
raw_input,2,-1,30,beta_r2,shuffled,7.616326183779165e-05,128
raw_input,2,-1,30,component_accuracy,actual,0.4921875,128
raw_input,2,-1,30,component_accuracy,shuffled,0.5703125,128
raw_input,2,-1,40,beta_r2,actual,-0.0895509123802185,128
raw_input,2,-1,40,beta_r2,shuffled,-0.017555726692080498,128
raw_input,2,-1,40,component_accuracy,actual,0.5546875,128
raw_input,2,-1,40,component_accuracy,shuffled,0.5859375,128
raw_input,2,-1,49,beta_r2,actual,-0.033566027879714966,128
raw_input,2,-1,49,beta_r2,shuffled,-0.07180501520633698,128
raw_input,2,-1,49,component_accuracy,actual,0.578125,128
raw_input,2,-1,49,component_accuracy,shuffled,0.4921875,128
untrained,2,0,5,beta_r2,actual,-0.053166747093200684,128
untrained,2,0,5,beta_r2,shuffled,-0.009859136305749416,128
untrained,2,0,5,component_accuracy,actual,0.5078125,128
untrained,2,0,5,component_accuracy,shuffled,0.5078125,128
untrained,2,0,10,beta_r2,actual,-0.07257118076086044,128
untrained,2,0,10,beta_r2,shuffled,0.008511310443282127,128
untrained,2,0,10,component_accuracy,actual,0.46875,128
untrained,2,0,10,component_accuracy,shuffled,0.4140625,128
untrained,2,0,20,beta_r2,actual,-0.05634727701544762,128
untrained,2,0,20,beta_r2,shuffled,-0.04420577362179756,128
untrained,2,0,20,component_accuracy,actual,0.5,128
untrained,2,0,20,component_accuracy,shuffled,0.546875,128
untrained,2,0,30,beta_r2,actual,-0.13116216659545898,128
untrained,2,0,30,beta_r2,shuffled,-0.04537336900830269,128
untrained,2,0,30,component_accuracy,actual,0.4609375,128
untrained,2,0,30,component_accuracy,shuffled,0.375,128
untrained,2,0,40,beta_r2,actual,-0.10908409208059311,128
untrained,2,0,40,beta_r2,shuffled,-0.07204506546258926,128
untrained,2,0,40,component_accuracy,actual,0.5546875,128
untrained,2,0,40,component_accuracy,shuffled,0.546875,128
untrained,2,0,49,beta_r2,actual,-0.03227449581027031,128
untrained,2,0,49,beta_r2,shuffled,-0.003480630461126566,128
untrained,2,0,49,component_accuracy,actual,0.53125,128
untrained,2,0,49,component_accuracy,shuffled,0.53125,128
untrained,2,1,5,beta_r2,actual,-0.044604115188121796,128
untrained,2,1,5,beta_r2,shuffled,-0.0644766092300415,128
untrained,2,1,5,component_accuracy,actual,0.5,128
untrained,2,1,5,component_accuracy,shuffled,0.5703125,128
untrained,2,1,10,beta_r2,actual,-0.06207608804106712,128
untrained,2,1,10,beta_r2,shuffled,-0.11672379821538925,128
untrained,2,1,10,component_accuracy,actual,0.4765625,128
untrained,2,1,10,component_accuracy,shuffled,0.53125,128
untrained,2,1,20,beta_r2,actual,-0.04380705952644348,128
untrained,2,1,20,beta_r2,shuffled,-0.04034338891506195,128
untrained,2,1,20,component_accuracy,actual,0.5078125,128
untrained,2,1,20,component_accuracy,shuffled,0.4921875,128
untrained,2,1,30,beta_r2,actual,-0.12426627427339554,128
untrained,2,1,30,beta_r2,shuffled,-0.07990240305662155,128
untrained,2,1,30,component_accuracy,actual,0.4609375,128
untrained,2,1,30,component_accuracy,shuffled,0.484375,128
untrained,2,1,40,beta_r2,actual,-0.10290420800447464,128
untrained,2,1,40,beta_r2,shuffled,-0.08481181412935257,128
untrained,2,1,40,component_accuracy,actual,0.5546875,128
untrained,2,1,40,component_accuracy,shuffled,0.4921875,128
untrained,2,1,49,beta_r2,actual,-0.026311233639717102,128
untrained,2,1,49,beta_r2,shuffled,-0.08317606896162033,128
untrained,2,1,49,component_accuracy,actual,0.5390625,128
untrained,2,1,49,component_accuracy,shuffled,0.4921875,128
untrained,2,2,5,beta_r2,actual,-0.02712911181151867,128
untrained,2,2,5,beta_r2,shuffled,-0.10981877893209457,128
untrained,2,2,5,component_accuracy,actual,0.515625,128
untrained,2,2,5,component_accuracy,shuffled,0.4765625,128
untrained,2,2,10,beta_r2,actual,-0.055386487394571304,128
untrained,2,2,10,beta_r2,shuffled,-0.031693845987319946,128
untrained,2,2,10,component_accuracy,actual,0.453125,128
untrained,2,2,10,component_accuracy,shuffled,0.59375,128
untrained,2,2,20,beta_r2,actual,-0.03378977254033089,128
untrained,2,2,20,beta_r2,shuffled,-0.02932470291852951,128
untrained,2,2,20,component_accuracy,actual,0.5078125,128
untrained,2,2,20,component_accuracy,shuffled,0.4609375,128
untrained,2,2,30,beta_r2,actual,-0.1155129075050354,128
untrained,2,2,30,beta_r2,shuffled,-0.00289551867172122,128
untrained,2,2,30,component_accuracy,actual,0.46875,128
untrained,2,2,30,component_accuracy,shuffled,0.5234375,128
untrained,2,2,40,beta_r2,actual,-0.09483309835195541,128
untrained,2,2,40,beta_r2,shuffled,-0.07874426990747452,128
untrained,2,2,40,component_accuracy,actual,0.5625,128
untrained,2,2,40,component_accuracy,shuffled,0.453125,128
untrained,2,2,49,beta_r2,actual,-0.017862236127257347,128
untrained,2,2,49,beta_r2,shuffled,0.049147192388772964,128
untrained,2,2,49,component_accuracy,actual,0.546875,128
untrained,2,2,49,component_accuracy,shuffled,0.484375,128
untrained,2,3,5,beta_r2,actual,-0.009733369573950768,128
untrained,2,3,5,beta_r2,shuffled,-0.010400354862213135,128
untrained,2,3,5,component_accuracy,actual,0.5078125,128
untrained,2,3,5,component_accuracy,shuffled,0.546875,128
untrained,2,3,10,beta_r2,actual,-0.03536667302250862,128
untrained,2,3,10,beta_r2,shuffled,-0.06118994951248169,128
untrained,2,3,10,component_accuracy,actual,0.453125,128
untrained,2,3,10,component_accuracy,shuffled,0.4296875,128
untrained,2,3,20,beta_r2,actual,-0.019568223506212234,128
untrained,2,3,20,beta_r2,shuffled,0.015777384862303734,128
untrained,2,3,20,component_accuracy,actual,0.4921875,128
untrained,2,3,20,component_accuracy,shuffled,0.5234375,128
untrained,2,3,30,beta_r2,actual,-0.11380859464406967,128
untrained,2,3,30,beta_r2,shuffled,-0.05251741409301758,128
untrained,2,3,30,component_accuracy,actual,0.46875,128
untrained,2,3,30,component_accuracy,shuffled,0.546875,128
untrained,2,3,40,beta_r2,actual,-0.07664090394973755,128
untrained,2,3,40,beta_r2,shuffled,0.014759790152311325,128
untrained,2,3,40,component_accuracy,actual,0.578125,128
untrained,2,3,40,component_accuracy,shuffled,0.5703125,128
untrained,2,3,49,beta_r2,actual,-0.009886548854410648,128
untrained,2,3,49,beta_r2,shuffled,-0.01325430627912283,128
untrained,2,3,49,component_accuracy,actual,0.5546875,128
untrained,2,3,49,component_accuracy,shuffled,0.5,128
untrained,2,4,5,beta_r2,actual,-0.001299557276070118,128
untrained,2,4,5,beta_r2,shuffled,-0.09510807693004608,128
untrained,2,4,5,component_accuracy,actual,0.515625,128
untrained,2,4,5,component_accuracy,shuffled,0.4765625,128
untrained,2,4,10,beta_r2,actual,-0.014150574803352356,128
untrained,2,4,10,beta_r2,shuffled,-0.11141543090343475,128
untrained,2,4,10,component_accuracy,actual,0.46875,128
untrained,2,4,10,component_accuracy,shuffled,0.5390625,128
untrained,2,4,20,beta_r2,actual,-0.0005033384077250957,128
untrained,2,4,20,beta_r2,shuffled,-0.07273566722869873,128
untrained,2,4,20,component_accuracy,actual,0.5,128
untrained,2,4,20,component_accuracy,shuffled,0.5078125,128
untrained,2,4,30,beta_r2,actual,-0.09888710826635361,128
untrained,2,4,30,beta_r2,shuffled,-0.06945042312145233,128
untrained,2,4,30,component_accuracy,actual,0.46875,128
untrained,2,4,30,component_accuracy,shuffled,0.484375,128
untrained,2,4,40,beta_r2,actual,-0.06901084631681442,128
untrained,2,4,40,beta_r2,shuffled,-0.03318630903959274,128
untrained,2,4,40,component_accuracy,actual,0.59375,128
untrained,2,4,40,component_accuracy,shuffled,0.515625,128
untrained,2,4,49,beta_r2,actual,-0.00593908317387104,128
untrained,2,4,49,beta_r2,shuffled,0.0014159965794533491,128
untrained,2,4,49,component_accuracy,actual,0.5703125,128
untrained,2,4,49,component_accuracy,shuffled,0.546875,128
untrained,2,5,5,beta_r2,actual,0.007158238440752029,128
untrained,2,5,5,beta_r2,shuffled,-0.05509825795888901,128
untrained,2,5,5,component_accuracy,actual,0.515625,128
untrained,2,5,5,component_accuracy,shuffled,0.5234375,128
untrained,2,5,10,beta_r2,actual,0.00014872940664645284,128
untrained,2,5,10,beta_r2,shuffled,-0.06497284024953842,128
untrained,2,5,10,component_accuracy,actual,0.46875,128
untrained,2,5,10,component_accuracy,shuffled,0.5703125,128
untrained,2,5,20,beta_r2,actual,0.0036935124080628157,128
untrained,2,5,20,beta_r2,shuffled,-0.06868325918912888,128
untrained,2,5,20,component_accuracy,actual,0.5078125,128
untrained,2,5,20,component_accuracy,shuffled,0.5390625,128
untrained,2,5,30,beta_r2,actual,-0.10072676092386246,128
untrained,2,5,30,beta_r2,shuffled,-0.06436207890510559,128
untrained,2,5,30,component_accuracy,actual,0.4609375,128
untrained,2,5,30,component_accuracy,shuffled,0.5,128
untrained,2,5,40,beta_r2,actual,-0.06376630067825317,128
untrained,2,5,40,beta_r2,shuffled,-0.04731526970863342,128
untrained,2,5,40,component_accuracy,actual,0.5859375,128
untrained,2,5,40,component_accuracy,shuffled,0.5234375,128
untrained,2,5,49,beta_r2,actual,-0.0031190698500722647,128
untrained,2,5,49,beta_r2,shuffled,-0.10519910603761673,128
untrained,2,5,49,component_accuracy,actual,0.5625,128
untrained,2,5,49,component_accuracy,shuffled,0.5,128
untrained,2,6,5,beta_r2,actual,-0.0032448340207338333,128
untrained,2,6,5,beta_r2,shuffled,-0.07208597660064697,128
untrained,2,6,5,component_accuracy,actual,0.515625,128
untrained,2,6,5,component_accuracy,shuffled,0.484375,128
untrained,2,6,10,beta_r2,actual,-0.004638755694031715,128
untrained,2,6,10,beta_r2,shuffled,-0.08266119658946991,128
untrained,2,6,10,component_accuracy,actual,0.46875,128
untrained,2,6,10,component_accuracy,shuffled,0.5234375,128
untrained,2,6,20,beta_r2,actual,-0.018008435145020485,128
untrained,2,6,20,beta_r2,shuffled,-0.07320600748062134,128
untrained,2,6,20,component_accuracy,actual,0.5703125,128
untrained,2,6,20,component_accuracy,shuffled,0.515625,128
untrained,2,6,30,beta_r2,actual,-0.10838571190834045,128
untrained,2,6,30,beta_r2,shuffled,-0.10730190575122833,128
untrained,2,6,30,component_accuracy,actual,0.46875,128
untrained,2,6,30,component_accuracy,shuffled,0.4921875,128
untrained,2,6,40,beta_r2,actual,-0.03614738583564758,128
untrained,2,6,40,beta_r2,shuffled,0.0006615326274186373,128
untrained,2,6,40,component_accuracy,actual,0.59375,128
untrained,2,6,40,component_accuracy,shuffled,0.4921875,128
untrained,2,6,49,beta_r2,actual,-0.00847451202571392,128
untrained,2,6,49,beta_r2,shuffled,-0.023399775847792625,128
untrained,2,6,49,component_accuracy,actual,0.53125,128
untrained,2,6,49,component_accuracy,shuffled,0.4921875,128
trained,3,0,5,beta_r2,actual,-0.08330633491277695,128
trained,3,0,5,beta_r2,shuffled,-0.07944750785827637,128
trained,3,0,5,component_accuracy,actual,0.4375,128
trained,3,0,5,component_accuracy,shuffled,0.4609375,128
trained,3,0,10,beta_r2,actual,-0.01955416053533554,128
trained,3,0,10,beta_r2,shuffled,-0.03305228427052498,128
trained,3,0,10,component_accuracy,actual,0.515625,128
trained,3,0,10,component_accuracy,shuffled,0.40625,128
trained,3,0,20,beta_r2,actual,-0.0009277901262976229,128
trained,3,0,20,beta_r2,shuffled,-0.04857180640101433,128
trained,3,0,20,component_accuracy,actual,0.5703125,128
trained,3,0,20,component_accuracy,shuffled,0.390625,128
trained,3,0,30,beta_r2,actual,-0.11953704804182053,128
trained,3,0,30,beta_r2,shuffled,-0.06145741790533066,128
trained,3,0,30,component_accuracy,actual,0.53125,128
trained,3,0,30,component_accuracy,shuffled,0.6328125,128
trained,3,0,40,beta_r2,actual,-0.09907600283622742,128
trained,3,0,40,beta_r2,shuffled,-0.11198292672634125,128
trained,3,0,40,component_accuracy,actual,0.46875,128
trained,3,0,40,component_accuracy,shuffled,0.5,128
trained,3,0,49,beta_r2,actual,-0.06587054580450058,128
trained,3,0,49,beta_r2,shuffled,-0.09141052514314651,128
trained,3,0,49,component_accuracy,actual,0.4609375,128
trained,3,0,49,component_accuracy,shuffled,0.484375,128
trained,3,1,5,beta_r2,actual,0.6843999028205872,128
trained,3,1,5,beta_r2,shuffled,-0.28139203786849976,128
trained,3,1,5,component_accuracy,actual,0.96875,128
trained,3,1,5,component_accuracy,shuffled,0.484375,128
trained,3,1,10,beta_r2,actual,0.6709212064743042,128
trained,3,1,10,beta_r2,shuffled,-0.03118884190917015,128
trained,3,1,10,component_accuracy,actual,0.9453125,128
trained,3,1,10,component_accuracy,shuffled,0.5546875,128
trained,3,1,20,beta_r2,actual,0.7044705152511597,128
trained,3,1,20,beta_r2,shuffled,-0.2754974067211151,128
trained,3,1,20,component_accuracy,actual,0.96875,128
trained,3,1,20,component_accuracy,shuffled,0.5234375,128
trained,3,1,30,beta_r2,actual,0.6659111976623535,128
trained,3,1,30,beta_r2,shuffled,-0.21712848544120789,128
trained,3,1,30,component_accuracy,actual,0.9765625,128
trained,3,1,30,component_accuracy,shuffled,0.46875,128
trained,3,1,40,beta_r2,actual,0.6634916663169861,128
trained,3,1,40,beta_r2,shuffled,-0.14768807590007782,128
trained,3,1,40,component_accuracy,actual,0.9765625,128
trained,3,1,40,component_accuracy,shuffled,0.546875,128
trained,3,1,49,beta_r2,actual,0.646012008190155,128
trained,3,1,49,beta_r2,shuffled,-0.12930962443351746,128
trained,3,1,49,component_accuracy,actual,0.9453125,128
trained,3,1,49,component_accuracy,shuffled,0.5546875,128
trained,3,2,5,beta_r2,actual,0.7211946249008179,128
trained,3,2,5,beta_r2,shuffled,-0.32954949140548706,128
trained,3,2,5,component_accuracy,actual,0.96875,128
trained,3,2,5,component_accuracy,shuffled,0.3984375,128
trained,3,2,10,beta_r2,actual,0.7140623927116394,128
trained,3,2,10,beta_r2,shuffled,-0.1245170533657074,128
trained,3,2,10,component_accuracy,actual,0.984375,128
trained,3,2,10,component_accuracy,shuffled,0.3984375,128
trained,3,2,20,beta_r2,actual,0.7151771187782288,128
trained,3,2,20,beta_r2,shuffled,-0.14320598542690277,128
trained,3,2,20,component_accuracy,actual,0.96875,128
trained,3,2,20,component_accuracy,shuffled,0.375,128
trained,3,2,30,beta_r2,actual,0.7189606428146362,128
trained,3,2,30,beta_r2,shuffled,-0.1667921245098114,128
trained,3,2,30,component_accuracy,actual,0.9765625,128
trained,3,2,30,component_accuracy,shuffled,0.4765625,128
trained,3,2,40,beta_r2,actual,0.7206565737724304,128
trained,3,2,40,beta_r2,shuffled,-0.12801875174045563,128
trained,3,2,40,component_accuracy,actual,0.9765625,128
trained,3,2,40,component_accuracy,shuffled,0.5,128
trained,3,2,49,beta_r2,actual,0.6787401437759399,128
trained,3,2,49,beta_r2,shuffled,-0.12871550023555756,128
trained,3,2,49,component_accuracy,actual,0.9453125,128
trained,3,2,49,component_accuracy,shuffled,0.546875,128
trained,3,3,5,beta_r2,actual,0.8045610785484314,128
trained,3,3,5,beta_r2,shuffled,-0.29658952355384827,128
trained,3,3,5,component_accuracy,actual,0.984375,128
trained,3,3,5,component_accuracy,shuffled,0.484375,128
trained,3,3,10,beta_r2,actual,0.8270444869995117,128
trained,3,3,10,beta_r2,shuffled,-0.3998650908470154,128
trained,3,3,10,component_accuracy,actual,0.9765625,128
trained,3,3,10,component_accuracy,shuffled,0.484375,128
trained,3,3,20,beta_r2,actual,0.8270495533943176,128
trained,3,3,20,beta_r2,shuffled,-0.22010645270347595,128
trained,3,3,20,component_accuracy,actual,0.96875,128
trained,3,3,20,component_accuracy,shuffled,0.4375,128
trained,3,3,30,beta_r2,actual,0.8603149652481079,128
trained,3,3,30,beta_r2,shuffled,-0.169075146317482,128
trained,3,3,30,component_accuracy,actual,1.0,128
trained,3,3,30,component_accuracy,shuffled,0.5859375,128
trained,3,3,40,beta_r2,actual,0.8488780856132507,128
trained,3,3,40,beta_r2,shuffled,-0.44171130657196045,128
trained,3,3,40,component_accuracy,actual,0.984375,128
trained,3,3,40,component_accuracy,shuffled,0.546875,128
trained,3,3,49,beta_r2,actual,0.8092641234397888,128
trained,3,3,49,beta_r2,shuffled,-0.4394081234931946,128
trained,3,3,49,component_accuracy,actual,0.984375,128
trained,3,3,49,component_accuracy,shuffled,0.484375,128
trained,3,4,5,beta_r2,actual,0.9008071422576904,128
trained,3,4,5,beta_r2,shuffled,-0.3078879117965698,128
trained,3,4,5,component_accuracy,actual,0.984375,128
trained,3,4,5,component_accuracy,shuffled,0.5390625,128
trained,3,4,10,beta_r2,actual,0.9176785945892334,128
trained,3,4,10,beta_r2,shuffled,-0.17174696922302246,128
trained,3,4,10,component_accuracy,actual,0.9765625,128
trained,3,4,10,component_accuracy,shuffled,0.5,128
trained,3,4,20,beta_r2,actual,0.9317448139190674,128
trained,3,4,20,beta_r2,shuffled,-0.2579028308391571,128
trained,3,4,20,component_accuracy,actual,0.9765625,128
trained,3,4,20,component_accuracy,shuffled,0.5,128
trained,3,4,30,beta_r2,actual,0.9590557813644409,128
trained,3,4,30,beta_r2,shuffled,-0.4039473235607147,128
trained,3,4,30,component_accuracy,actual,1.0,128
trained,3,4,30,component_accuracy,shuffled,0.5234375,128
trained,3,4,40,beta_r2,actual,0.9526774883270264,128
trained,3,4,40,beta_r2,shuffled,-0.29198402166366577,128
trained,3,4,40,component_accuracy,actual,0.9921875,128
trained,3,4,40,component_accuracy,shuffled,0.5078125,128
trained,3,4,49,beta_r2,actual,0.9464700818061829,128
trained,3,4,49,beta_r2,shuffled,-0.28165292739868164,128
trained,3,4,49,component_accuracy,actual,0.9921875,128
trained,3,4,49,component_accuracy,shuffled,0.46875,128
trained,3,5,5,beta_r2,actual,0.9045068621635437,128
trained,3,5,5,beta_r2,shuffled,-0.3680097162723541,128
trained,3,5,5,component_accuracy,actual,0.984375,128
trained,3,5,5,component_accuracy,shuffled,0.53125,128
trained,3,5,10,beta_r2,actual,0.9388234615325928,128
trained,3,5,10,beta_r2,shuffled,-0.1595436930656433,128
trained,3,5,10,component_accuracy,actual,0.984375,128
trained,3,5,10,component_accuracy,shuffled,0.46875,128
trained,3,5,20,beta_r2,actual,0.9442629218101501,128
trained,3,5,20,beta_r2,shuffled,-0.3427543342113495,128
trained,3,5,20,component_accuracy,actual,0.9921875,128
trained,3,5,20,component_accuracy,shuffled,0.484375,128
trained,3,5,30,beta_r2,actual,0.9637184143066406,128
trained,3,5,30,beta_r2,shuffled,-0.19938470423221588,128
trained,3,5,30,component_accuracy,actual,1.0,128
trained,3,5,30,component_accuracy,shuffled,0.5,128
trained,3,5,40,beta_r2,actual,0.9710283875465393,128
trained,3,5,40,beta_r2,shuffled,-0.22273296117782593,128
trained,3,5,40,component_accuracy,actual,1.0,128
trained,3,5,40,component_accuracy,shuffled,0.546875,128
trained,3,5,49,beta_r2,actual,0.9611846208572388,128
trained,3,5,49,beta_r2,shuffled,-0.30916935205459595,128
trained,3,5,49,component_accuracy,actual,1.0,128
trained,3,5,49,component_accuracy,shuffled,0.484375,128
trained,3,6,5,beta_r2,actual,0.8615490198135376,128
trained,3,6,5,beta_r2,shuffled,-0.3855138421058655,128
trained,3,6,5,component_accuracy,actual,0.984375,128
trained,3,6,5,component_accuracy,shuffled,0.5390625,128
trained,3,6,10,beta_r2,actual,0.8960418105125427,128
trained,3,6,10,beta_r2,shuffled,-0.4602774977684021,128
trained,3,6,10,component_accuracy,actual,1.0,128
trained,3,6,10,component_accuracy,shuffled,0.4921875,128
trained,3,6,20,beta_r2,actual,0.9222986698150635,128
trained,3,6,20,beta_r2,shuffled,-0.23264050483703613,128
trained,3,6,20,component_accuracy,actual,0.984375,128
trained,3,6,20,component_accuracy,shuffled,0.53125,128
trained,3,6,30,beta_r2,actual,0.9373379945755005,128
trained,3,6,30,beta_r2,shuffled,-0.13230717182159424,128
trained,3,6,30,component_accuracy,actual,1.0,128
trained,3,6,30,component_accuracy,shuffled,0.4765625,128
trained,3,6,40,beta_r2,actual,0.941120445728302,128
trained,3,6,40,beta_r2,shuffled,-0.07746163010597229,128
trained,3,6,40,component_accuracy,actual,0.9921875,128
trained,3,6,40,component_accuracy,shuffled,0.40625,128
trained,3,6,49,beta_r2,actual,0.9296261668205261,128
trained,3,6,49,beta_r2,shuffled,-0.2432790845632553,128
trained,3,6,49,component_accuracy,actual,1.0,128
trained,3,6,49,component_accuracy,shuffled,0.578125,128
raw_input,3,-1,5,beta_r2,actual,-0.07199075073003769,128
raw_input,3,-1,5,beta_r2,shuffled,-0.05442524328827858,128
raw_input,3,-1,5,component_accuracy,actual,0.484375,128
raw_input,3,-1,5,component_accuracy,shuffled,0.4296875,128
raw_input,3,-1,10,beta_r2,actual,-0.018205171450972557,128
raw_input,3,-1,10,beta_r2,shuffled,-0.01520884595811367,128
raw_input,3,-1,10,component_accuracy,actual,0.5390625,128
raw_input,3,-1,10,component_accuracy,shuffled,0.3828125,128
raw_input,3,-1,20,beta_r2,actual,-0.007236436940729618,128
raw_input,3,-1,20,beta_r2,shuffled,-0.02271328866481781,128
raw_input,3,-1,20,component_accuracy,actual,0.53125,128
raw_input,3,-1,20,component_accuracy,shuffled,0.515625,128
raw_input,3,-1,30,beta_r2,actual,-0.10315448045730591,128
raw_input,3,-1,30,beta_r2,shuffled,-0.01785852387547493,128
raw_input,3,-1,30,component_accuracy,actual,0.484375,128
raw_input,3,-1,30,component_accuracy,shuffled,0.5546875,128
raw_input,3,-1,40,beta_r2,actual,-0.09004610776901245,128
raw_input,3,-1,40,beta_r2,shuffled,-0.10062472522258759,128
raw_input,3,-1,40,component_accuracy,actual,0.4453125,128
raw_input,3,-1,40,component_accuracy,shuffled,0.5625,128
raw_input,3,-1,49,beta_r2,actual,-0.06835849583148956,128
raw_input,3,-1,49,beta_r2,shuffled,-0.0948139950633049,128
raw_input,3,-1,49,component_accuracy,actual,0.4921875,128
raw_input,3,-1,49,component_accuracy,shuffled,0.515625,128
untrained,3,0,5,beta_r2,actual,-0.08401407301425934,128
untrained,3,0,5,beta_r2,shuffled,-0.08021858334541321,128
untrained,3,0,5,component_accuracy,actual,0.4375,128
untrained,3,0,5,component_accuracy,shuffled,0.453125,128
untrained,3,0,10,beta_r2,actual,-0.01956484466791153,128
untrained,3,0,10,beta_r2,shuffled,-0.036353178322315216,128
untrained,3,0,10,component_accuracy,actual,0.5078125,128
untrained,3,0,10,component_accuracy,shuffled,0.4375,128
untrained,3,0,20,beta_r2,actual,-0.004429920576512814,128
untrained,3,0,20,beta_r2,shuffled,-0.049007173627614975,128
untrained,3,0,20,component_accuracy,actual,0.578125,128
untrained,3,0,20,component_accuracy,shuffled,0.4296875,128
untrained,3,0,30,beta_r2,actual,-0.12515416741371155,128
untrained,3,0,30,beta_r2,shuffled,-0.061975233256816864,128
untrained,3,0,30,component_accuracy,actual,0.515625,128
untrained,3,0,30,component_accuracy,shuffled,0.640625,128
untrained,3,0,40,beta_r2,actual,-0.0984157919883728,128
untrained,3,0,40,beta_r2,shuffled,-0.11133963614702225,128
untrained,3,0,40,component_accuracy,actual,0.4453125,128
untrained,3,0,40,component_accuracy,shuffled,0.484375,128
untrained,3,0,49,beta_r2,actual,-0.06515450030565262,128
untrained,3,0,49,beta_r2,shuffled,-0.08939450979232788,128
untrained,3,0,49,component_accuracy,actual,0.453125,128
untrained,3,0,49,component_accuracy,shuffled,0.46875,128
untrained,3,1,5,beta_r2,actual,-0.028214439749717712,128
untrained,3,1,5,beta_r2,shuffled,-0.057706546038389206,128
untrained,3,1,5,component_accuracy,actual,0.4609375,128
untrained,3,1,5,component_accuracy,shuffled,0.4765625,128
untrained,3,1,10,beta_r2,actual,0.023863669484853745,128
untrained,3,1,10,beta_r2,shuffled,-0.033028602600097656,128
untrained,3,1,10,component_accuracy,actual,0.515625,128
untrained,3,1,10,component_accuracy,shuffled,0.53125,128
untrained,3,1,20,beta_r2,actual,0.023355647921562195,128
untrained,3,1,20,beta_r2,shuffled,-0.09946935623884201,128
untrained,3,1,20,component_accuracy,actual,0.5703125,128
untrained,3,1,20,component_accuracy,shuffled,0.515625,128
untrained,3,1,30,beta_r2,actual,-0.08517058938741684,128
untrained,3,1,30,beta_r2,shuffled,-0.09314453601837158,128
untrained,3,1,30,component_accuracy,actual,0.5078125,128
untrained,3,1,30,component_accuracy,shuffled,0.46875,128
untrained,3,1,40,beta_r2,actual,-0.06287002563476562,128
untrained,3,1,40,beta_r2,shuffled,-0.07593660056591034,128
untrained,3,1,40,component_accuracy,actual,0.4609375,128
untrained,3,1,40,component_accuracy,shuffled,0.5625,128
untrained,3,1,49,beta_r2,actual,-0.03707592561841011,128
untrained,3,1,49,beta_r2,shuffled,-0.025261562317609787,128
untrained,3,1,49,component_accuracy,actual,0.46875,128
untrained,3,1,49,component_accuracy,shuffled,0.5234375,128
untrained,3,2,5,beta_r2,actual,0.005370989441871643,128
untrained,3,2,5,beta_r2,shuffled,-0.04656039550900459,128
untrained,3,2,5,component_accuracy,actual,0.4765625,128
untrained,3,2,5,component_accuracy,shuffled,0.4921875,128
untrained,3,2,10,beta_r2,actual,0.0576447993516922,128
untrained,3,2,10,beta_r2,shuffled,-0.04392587020993233,128
untrained,3,2,10,component_accuracy,actual,0.546875,128
untrained,3,2,10,component_accuracy,shuffled,0.40625,128
untrained,3,2,20,beta_r2,actual,0.041030995547771454,128
untrained,3,2,20,beta_r2,shuffled,-0.02076631970703602,128
untrained,3,2,20,component_accuracy,actual,0.59375,128
untrained,3,2,20,component_accuracy,shuffled,0.484375,128
untrained,3,2,30,beta_r2,actual,-0.05025867000222206,128
untrained,3,2,30,beta_r2,shuffled,-0.029209395870566368,128
untrained,3,2,30,component_accuracy,actual,0.5,128
untrained,3,2,30,component_accuracy,shuffled,0.5390625,128
untrained,3,2,40,beta_r2,actual,-0.0228030513972044,128
untrained,3,2,40,beta_r2,shuffled,-0.0632527768611908,128
untrained,3,2,40,component_accuracy,actual,0.4453125,128
untrained,3,2,40,component_accuracy,shuffled,0.5,128
untrained,3,2,49,beta_r2,actual,-0.016262458637356758,128
untrained,3,2,49,beta_r2,shuffled,-0.04404794052243233,128
